gmina_code,gmina_name,voivodeship_code,nearest_warehouse_id,nearest_warehouse_name,access_time_h,second_access_time_h,third_access_time_h,coverage_gap
207003,gmina_dolnoslaskie_07_03,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.78,0.88,1.06,False
207004,gmina_dolnoslaskie_07_04,02,WH001,ARS_dolnoslaskie_01,0.64,0.88,0.93,False
207005,gmina_dolnoslaskie_07_05,02,WH001,ARS_dolnoslaskie_01,0.82,1.0,1.12,False
208001,gmina_dolnoslaskie_08_01,02,WH015,skladnica_PSP_wielkopolskie_15,1.4,1.9,1.95,False
208002,gmina_dolnoslaskie_08_02,02,WH015,skladnica_PSP_wielkopolskie_15,1.11,1.89,2.0,False
208003,gmina_dolnoslaskie_08_03,02,WH001,ARS_dolnoslaskie_01,1.54,1.58,1.64,False
208004,gmina_dolnoslaskie_08_04,02,WH015,skladnica_PSP_wielkopolskie_15,1.26,1.52,1.89,False
208005,gmina_dolnoslaskie_08_05,02,WH015,skladnica_PSP_wielkopolskie_15,1.17,2.01,2.03,False
208006,gmina_dolnoslaskie_08_06,02,WH001,ARS_dolnoslaskie_01,1.3,1.36,1.63,False
209001,gmina_dolnoslaskie_09_01,02,WH033,ARS_dolnoslaskie_33,0.54,0.82,0.99,False
209002,gmina_dolnoslaskie_09_02,02,WH033,ARS_dolnoslaskie_33,0.94,1.13,1.38,False
209003,gmina_dolnoslaskie_09_03,02,WH033,ARS_dolnoslaskie_33,0.97,1.22,1.43,False
209004,gmina_dolnoslaskie_09_04,02,WH033,ARS_dolnoslaskie_33,0.56,0.66,0.8,False
209005,gmina_dolnoslaskie_09_05,02,WH033,ARS_dolnoslaskie_33,1.04,1.23,1.48,False
209006,gmina_dolnoslaskie_09_06,02,WH033,ARS_dolnoslaskie_33,1.12,1.35,1.58,False
210001,gmina_dolnoslaskie_10_01,02,WH015,skladnica_PSP_wielkopolskie_15,0.93,1.37,1.79,False
210002,gmina_dolnoslaskie_10_02,02,WH015,skladnica_PSP_wielkopolskie_15,0.93,1.64,1.85,False
210003,gmina_dolnoslaskie_10_03,02,WH015,skladnica_PSP_wielkopolskie_15,0.77,1.46,1.98,False
210004,gmina_dolnoslaskie_10_04,02,WH015,skladnica_PSP_wielkopolskie_15,1.04,1.88,1.92,False
210005,gmina_dolnoslaskie_10_05,02,WH015,skladnica_PSP_wielkopolskie_15,0.93,1.19,1.64,False
210006,gmina_dolnoslaskie_10_06,02,WH015,skladnica_PSP_wielkopolskie_15,0.98,1.65,1.81,False
210007,gmina_dolnoslaskie_10_07,02,WH015,skladnica_PSP_wielkopolskie_15,0.81,1.53,1.98,False
211001,gmina_dolnoslaskie_11_01,02,WH003,skladnica_PSP_dolnoslaskie_03,0.82,1.23,1.27,False
211002,gmina_dolnoslaskie_11_02,02,WH003,skladnica_PSP_dolnoslaskie_03,1.1,1.11,1.41,False
211003,gmina_dolnoslaskie_11_03,02,WH003,skladnica_PSP_dolnoslaskie_03,0.62,1.03,1.14,False
211004,gmina_dolnoslaskie_11_04,02,WH003,skladnica_PSP_dolnoslaskie_03,0.78,0.91,1.13,False
211005,gmina_dolnoslaskie_11_05,02,WH003,skladnica_PSP_dolnoslaskie_03,0.78,1.12,1.37,False
211006,gmina_dolnoslaskie_11_06,02,WH003,skladnica_PSP_dolnoslaskie_03,0.52,0.88,1.15,False
211007,gmina_dolnoslaskie_11_07,02,WH003,skladnica_PSP_dolnoslaskie_03,0.96,1.19,1.53,False
211008,gmina_dolnoslaskie_11_08,02,WH049,ARS_dolnoslaskie_49,0.62,0.91,0.97,False
212001,gmina_dolnoslaskie_12_01,02,WH033,ARS_dolnoslaskie_33,1.1,1.24,1.52,False
212002,gmina_dolnoslaskie_12_02,02,WH033,ARS_dolnoslaskie_33,1.26,1.31,1.61,False
212003,gmina_dolnoslaskie_12_03,02,WH033,ARS_dolnoslaskie_33,1.08,1.24,1.51,False
212004,gmina_dolnoslaskie_12_04,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.02,1.08,1.31,False
212005,gmina_dolnoslaskie_12_05,02,WH033,ARS_dolnoslaskie_33,1.34,1.44,1.73,False
212006,gmina_dolnoslaskie_12_06,02,WH033,ARS_dolnoslaskie_33,1.36,1.37,1.67,False
213001,gmina_dolnoslaskie_13_01,02,WH049,ARS_dolnoslaskie_49,0.91,0.94,0.99,False
213002,gmina_dolnoslaskie_13_02,02,WH033,ARS_dolnoslaskie_33,0.8,0.82,0.96,False
213003,gmina_dolnoslaskie_13_03,02,WH049,ARS_dolnoslaskie_49,0.62,0.73,1.11,False
213004,gmina_dolnoslaskie_13_04,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.6,0.67,0.69,False
213005,gmina_dolnoslaskie_13_05,02,WH001,ARS_dolnoslaskie_01,0.63,0.85,0.85,False
213006,gmina_dolnoslaskie_13_06,02,WH003,skladnica_PSP_dolnoslaskie_03,0.83,0.95,1.1,False
213007,gmina_dolnoslaskie_13_07,02,WH017,ARS_dolnoslaskie_17,0.64,0.88,0.91,False
213008,gmina_dolnoslaskie_13_08,02,WH017,ARS_dolnoslaskie_17,0.83,0.87,0.92,False
213009,gmina_dolnoslaskie_13_09,02,WH033,ARS_dolnoslaskie_33,0.7,0.86,0.86,False
214001,gmina_dolnoslaskie_14_01,02,WH053,ARS_lodzkie_53,1.52,1.55,2.35,False
214002,gmina_dolnoslaskie_14_02,02,WH005,ARS_opolskie_05,1.79,1.85,2.07,False
214003,gmina_dolnoslaskie_14_03,02,WH053,ARS_lodzkie_53,1.89,1.96,2.03,False
214004,gmina_dolnoslaskie_14_04,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.77,1.79,2.07,False
214005,gmina_dolnoslaskie_14_05,02,WH053,ARS_lodzkie_53,1.87,1.91,2.0,False
215001,gmina_dolnoslaskie_15_01,02,WH017,ARS_dolnoslaskie_17,0.82,1.02,1.13,False
215002,gmina_dolnoslaskie_15_02,02,WH017,ARS_dolnoslaskie_17,0.87,0.97,1.19,False
215003,gmina_dolnoslaskie_15_03,02,WH017,ARS_dolnoslaskie_17,0.76,1.09,1.11,False
215004,gmina_dolnoslaskie_15_04,02,WH017,ARS_dolnoslaskie_17,0.56,0.8,1.13,False
215005,gmina_dolnoslaskie_15_05,02,WH033,ARS_dolnoslaskie_33,1.0,1.1,1.27,False
215006,gmina_dolnoslaskie_15_06,02,WH017,ARS_dolnoslaskie_17,0.8,1.0,1.1,False
215007,gmina_dolnoslaskie_15_07,02,WH024,magazyn_WOT_opolskie_24,0.76,1.07,1.28,False
215008,gmina_dolnoslaskie_15_08,02,WH024,magazyn_WOT_opolskie_24,1.11,1.17,1.17,False
216001,gmina_dolnoslaskie_16_01,02,WH001,ARS_dolnoslaskie_01,0.68,0.75,0.91,False
216002,gmina_dolnoslaskie_16_02,02,WH001,ARS_dolnoslaskie_01,1.06,1.2,1.33,False
216003,gmina_dolnoslaskie_16_03,02,WH049,ARS_dolnoslaskie_49,0.67,0.76,0.82,False
216004,gmina_dolnoslaskie_16_04,02,WH001,ARS_dolnoslaskie_01,0.56,0.71,0.93,False
216005,gmina_dolnoslaskie_16_05,02,WH049,ARS_dolnoslaskie_49,0.6,0.88,1.0,False
216006,gmina_dolnoslaskie_16_06,02,WH049,ARS_dolnoslaskie_49,0.83,0.87,1.03,False
217001,gmina_dolnoslaskie_17_01,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.91,0.92,1.19,False
217002,gmina_dolnoslaskie_17_02,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.9,0.93,1.17,False
217003,gmina_dolnoslaskie_17_03,02,WH001,ARS_dolnoslaskie_01,1.01,1.03,1.31,False
217004,gmina_dolnoslaskie_17_04,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.78,0.96,1.04,False
217005,gmina_dolnoslaskie_17_05,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.64,0.73,0.94,False
217006,gmina_dolnoslaskie_17_06,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.91,1.04,1.17,False
218001,gmina_dolnoslaskie_18_01,02,WH003,skladnica_PSP_dolnoslaskie_03,0.87,1.18,1.45,False
218002,gmina_dolnoslaskie_18_02,02,WH003,skladnica_PSP_dolnoslaskie_03,0.61,0.81,0.95,False
218003,gmina_dolnoslaskie_18_03,02,WH003,skladnica_PSP_dolnoslaskie_03,1.12,1.13,1.43,False
218004,gmina_dolnoslaskie_18_04,02,WH003,skladnica_PSP_dolnoslaskie_03,0.65,0.69,0.96,False
218005,gmina_dolnoslaskie_18_05,02,WH003,skladnica_PSP_dolnoslaskie_03,0.61,0.84,0.93,False
218006,gmina_dolnoslaskie_18_06,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.52,0.84,0.86,False
218007,gmina_dolnoslaskie_18_07,02,WH003,skladnica_PSP_dolnoslaskie_03,0.92,1.29,1.44,False
218008,gmina_dolnoslaskie_18_08,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.76,0.77,1.09,False
218009,gmina_dolnoslaskie_18_09,02,WH003,skladnica_PSP_dolnoslaskie_03,1.13,1.43,1.71,False
219001,gmina_dolnoslaskie_19_01,02,WH004,magazyn_WOT_opolskie_04,0.83,0.89,0.93,False
219002,gmina_dolnoslaskie_19_02,02,WH004,magazyn_WOT_opolskie_04,0.85,0.9,1.04,False
219003,gmina_dolnoslaskie_19_03,02,WH017,ARS_dolnoslaskie_17,0.85,0.95,1.07,False
219004,gmina_dolnoslaskie_19_04,02,WH017,ARS_dolnoslaskie_17,0.82,1.02,1.16,False
219005,gmina_dolnoslaskie_19_05,02,WH004,magazyn_WOT_opolskie_04,0.92,0.96,1.05,False
220002,gmina_dolnoslaskie_20_02,02,WH001,ARS_dolnoslaskie_01,1.38,1.43,1.52,False
220003,gmina_dolnoslaskie_20_03,02,WH001,ARS_dolnoslaskie_01,1.29,1.33,1.45,False
220004,gmina_dolnoslaskie_20_04,02,WH015,skladnica_PSP_wielkopolskie_15,1.52,1.52,1.56,False
220005,gmina_dolnoslaskie_20_05,02,WH015,skladnica_PSP_wielkopolskie_15,1.08,1.82,1.95,False
220006,gmina_dolnoslaskie_20_06,02,WH015,skladnica_PSP_wielkopolskie_15,1.26,1.79,1.85,False
221001,gmina_dolnoslaskie_21_01,02,WH017,ARS_dolnoslaskie_17,0.78,0.91,0.94,False
221002,gmina_dolnoslaskie_21_02,02,WH005,ARS_opolskie_05,0.79,1.03,1.1,False
221003,gmina_dolnoslaskie_21_03,02,WH049,ARS_dolnoslaskie_49,0.84,0.88,0.97,False
221004,gmina_dolnoslaskie_21_04,02,WH005,ARS_opolskie_05,0.92,0.98,1.03,False
221005,gmina_dolnoslaskie_21_05,02,WH005,ARS_opolskie_05,0.79,1.04,1.11,False
222001,gmina_dolnoslaskie_22_01,02,WH017,ARS_dolnoslaskie_17,0.65,0.85,1.09,False
222002,gmina_dolnoslaskie_22_02,02,WH049,ARS_dolnoslaskie_49,0.91,0.92,0.94,False
222003,gmina_dolnoslaskie_22_03,02,WH049,ARS_dolnoslaskie_49,0.67,0.86,1.04,False
222004,gmina_dolnoslaskie_22_04,02,WH017,ARS_dolnoslaskie_17,0.9,0.94,0.99,False
222005,gmina_dolnoslaskie_22_05,02,WH017,ARS_dolnoslaskie_17,0.61,0.94,1.01,False
222006,gmina_dolnoslaskie_22_06,02,WH017,ARS_dolnoslaskie_17,0.89,1.02,1.15,False
222007,gmina_dolnoslaskie_22_07,02,WH017,ARS_dolnoslaskie_17,0.76,0.83,1.09,False
223001,gmina_dolnoslaskie_23_01,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.04,1.22,1.25,False
223002,gmina_dolnoslaskie_23_02,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.58,0.73,0.89,False
223003,gmina_dolnoslaskie_23_03,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.58,0.66,0.98,False
223004,gmina_dolnoslaskie_23_04,02,WH003,skladnica_PSP_dolnoslaskie_03,1.1,1.12,1.41,False
223005,gmina_dolnoslaskie_23_05,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.74,0.87,1.05,False
223006,gmina_dolnoslaskie_23_06,02,WH003,skladnica_PSP_dolnoslaskie_03,0.66,0.7,1.03,False
224001,gmina_dolnoslaskie_24_01,02,WH001,ARS_dolnoslaskie_01,1.01,1.1,1.36,False
224003,gmina_dolnoslaskie_24_03,02,WH003,skladnica_PSP_dolnoslaskie_03,1.0,1.26,1.28,False
224004,gmina_dolnoslaskie_24_04,02,WH001,ARS_dolnoslaskie_01,0.77,0.97,1.02,False
224005,gmina_dolnoslaskie_24_05,02,WH003,skladnica_PSP_dolnoslaskie_03,1.06,1.09,1.14,False
224006,gmina_dolnoslaskie_24_06,02,WH001,ARS_dolnoslaskie_01,1.16,1.21,1.3,False
225001,gmina_dolnoslaskie_25_01,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.83,1.89,2.09,False
225002,gmina_dolnoslaskie_25_02,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.72,1.84,1.93,False
225003,gmina_dolnoslaskie_25_03,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.63,1.78,1.8,False
225004,gmina_dolnoslaskie_25_04,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.07,1.13,1.39,False
225005,gmina_dolnoslaskie_25_05,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.51,1.61,1.75,False
225006,gmina_dolnoslaskie_25_06,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.81,1.95,1.99,False
225007,gmina_dolnoslaskie_25_07,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,1.68,1.81,1.87,False
226001,gmina_dolnoslaskie_26_01,02,WH001,ARS_dolnoslaskie_01,0.59,0.81,0.88,False
226002,gmina_dolnoslaskie_26_02,02,WH017,ARS_dolnoslaskie_17,0.85,0.85,0.87,False
226003,gmina_dolnoslaskie_26_03,02,WH049,ARS_dolnoslaskie_49,0.61,0.74,0.83,False
226004,gmina_dolnoslaskie_26_04,02,WH017,ARS_dolnoslaskie_17,0.65,0.83,0.85,False
226005,gmina_dolnoslaskie_26_05,02,WH017,ARS_dolnoslaskie_17,0.84,1.0,1.18,False
226006,gmina_dolnoslaskie_26_06,02,WH017,ARS_dolnoslaskie_17,0.85,1.05,1.16,False
226007,gmina_dolnoslaskie_26_07,02,WH017,ARS_dolnoslaskie_17,0.71,0.85,0.87,False
227001,gmina_dolnoslaskie_27_01,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.59,0.67,0.69,False
227002,gmina_dolnoslaskie_27_02,02,WH017,ARS_dolnoslaskie_17,0.73,0.76,0.79,False
227003,gmina_dolnoslaskie_27_03,02,WH001,ARS_dolnoslaskie_01,1.02,1.21,1.22,False
227005,gmina_dolnoslaskie_27_05,02,WH003,skladnica_PSP_dolnoslaskie_03,1.01,1.37,1.41,False
227006,gmina_dolnoslaskie_27_06,02,WH001,ARS_dolnoslaskie_01,1.0,1.1,1.34,False
227007,gmina_dolnoslaskie_27_07,02,WH001,ARS_dolnoslaskie_01,0.67,0.94,0.94,False
227008,gmina_dolnoslaskie_27_08,02,WH001,ARS_dolnoslaskie_01,0.98,1.02,1.04,False
228001,gmina_dolnoslaskie_28_01,02,WH001,ARS_dolnoslaskie_01,1.51,1.56,1.58,False
228002,gmina_dolnoslaskie_28_02,02,WH001,ARS_dolnoslaskie_01,1.37,1.39,1.53,False
228003,gmina_dolnoslaskie_28_03,02,WH001,ARS_dolnoslaskie_01,1.41,1.44,1.55,False
228004,gmina_dolnoslaskie_28_04,02,WH001,ARS_dolnoslaskie_01,1.03,1.19,1.27,False
228005,gmina_dolnoslaskie_28_05,02,WH003,skladnica_PSP_dolnoslaskie_03,1.43,1.45,1.6,False
228006,gmina_dolnoslaskie_28_06,02,WH001,ARS_dolnoslaskie_01,0.86,1.03,1.17,False
228007,gmina_dolnoslaskie_28_07,02,WH001,ARS_dolnoslaskie_01,0.61,0.73,0.96,False
228008,gmina_dolnoslaskie_28_08,02,WH001,ARS_dolnoslaskie_01,1.58,1.62,1.67,False
229001,gmina_dolnoslaskie_29_01,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.45,1.48,1.74,False
229002,gmina_dolnoslaskie_29_02,02,WH033,ARS_dolnoslaskie_33,1.44,1.45,1.75,False
229004,gmina_dolnoslaskie_29_04,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.3,1.32,1.59,False
229005,gmina_dolnoslaskie_29_05,02,WH033,ARS_dolnoslaskie_33,1.03,1.09,1.38,False
229006,gmina_dolnoslaskie_29_06,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.64,1.65,1.94,False
230001,gmina_dolnoslaskie_30_01,02,WH033,ARS_dolnoslaskie_33,1.26,1.39,1.67,False
801001,gmina_lubuskie_01_01,08,WH047,skladnica_PSP_wielkopolskie_47,0.84,0.86,1.65,False
801002,gmina_lubuskie_01_02,08,WH047,skladnica_PSP_wielkopolskie_47,0.91,1.13,1.82,False
801003,gmina_lubuskie_01_03,08,WH047,skladnica_PSP_wielkopolskie_47,0.87,0.99,1.78,False
801004,gmina_lubuskie_01_04,08,WH047,skladnica_PSP_wielkopolskie_47,1.07,1.44,1.57,False
801005,gmina_lubuskie_01_05,08,WH047,skladnica_PSP_wielkopolskie_47,0.84,1.11,1.75,False
802001,gmina_lubuskie_02_01,08,WH052,magazyn_WOT_lubuskie_52,0.54,0.77,1.21,False
802002,gmina_lubuskie_02_02,08,WH052,magazyn_WOT_lubuskie_52,0.59,0.71,1.06,False
802003,gmina_lubuskie_02_03,08,WH052,magazyn_WOT_lubuskie_52,0.75,0.9,1.39,False
802004,gmina_lubuskie_02_04,08,WH020,magazyn_WOT_lubuskie_20,0.82,0.91,1.23,False
802005,gmina_lubuskie_02_05,08,WH020,magazyn_WOT_lubuskie_20,0.62,0.72,1.1,False
802006,gmina_lubuskie_02_06,08,WH052,magazyn_WOT_lubuskie_52,1.03,1.13,1.63,False
803001,gmina_lubuskie_03_01,08,WH048,magazyn_WOT_zachodniopomorskie_48,0.92,1.55,1.7,False
803002,gmina_lubuskie_03_02,08,WH036,magazyn_WOT_lubuskie_36,1.31,1.35,1.74,False
803003,gmina_lubuskie_03_03,08,WH048,magazyn_WOT_zachodniopomorskie_48,1.26,1.9,2.05,False
803004,gmina_lubuskie_03_04,08,WH048,magazyn_WOT_zachodniopomorskie_48,1.14,1.27,1.53,False
803005,gmina_lubuskie_03_05,08,WH048,magazyn_WOT_zachodniopomorskie_48,1.17,1.71,1.77,False
803006,gmina_lubuskie_03_06,08,WH048,magazyn_WOT_zachodniopomorskie_48,1.43,1.67,2.01,False
803007,gmina_lubuskie_03_07,08,WH048,magazyn_WOT_zachodniopomorskie_48,0.77,1.39,1.69,False
804001,gmina_lubuskie_04_01,08,WH036,magazyn_WOT_lubuskie_36,0.81,1.25,1.56,False
804002,gmina_lubuskie_04_02,08,WH036,magazyn_WOT_lubuskie_36,0.95,0.97,1.37,False
804003,gmina_lubuskie_04_03,08,WH010,magazyn_wojewodzki_OC_lubuskie_10,0.57,0.85,1.03,False
804004,gmina_lubuskie_04_04,08,WH036,magazyn_WOT_lubuskie_36,0.93,1.1,1.54,False
804005,gmina_lubuskie_04_05,08,WH036,magazyn_WOT_lubuskie_36,0.77,1.1,1.59,False
804006,gmina_lubuskie_04_06,08,WH036,magazyn_WOT_lubuskie_36,0.51,0.91,1.33,False
804007,gmina_lubuskie_04_07,08,WH036,magazyn_WOT_lubuskie_36,0.89,0.96,1.38,False
805001,gmina_lubuskie_05_01,08,WH008,magazyn_WOT_lubuskie_08,1.01,1.64,1.93,False
805002,gmina_lubuskie_05_02,08,WH008,magazyn_WOT_lubuskie_08,0.9,1.7,1.78,False
805003,gmina_lubuskie_05_03,08,WH008,magazyn_WOT_lubuskie_08,0.84,1.31,1.68,False
805004,gmina_lubuskie_05_04,08,WH008,magazyn_WOT_lubuskie_08,0.71,1.64,1.64,False
805005,gmina_lubuskie_05_05,08,WH008,magazyn_WOT_lubuskie_08,1.0,1.74,1.85,False
805006,gmina_lubuskie_05_06,08,WH008,magazyn_WOT_lubuskie_08,0.99,1.71,1.85,False
806001,gmina_lubuskie_06_01,08,WH010,magazyn_wojewodzki_OC_lubuskie_10,0.95,1.08,1.25,False
806002,gmina_lubuskie_06_02,08,WH010,magazyn_wojewodzki_OC_lubuskie_10,0.62,0.81,1.09,False
806003,gmina_lubuskie_06_03,08,WH010,magazyn_wojewodzki_OC_lubuskie_10,1.1,1.17,1.4,False
806004,gmina_lubuskie_06_04,08,WH020,magazyn_WOT_lubuskie_20,1.04,1.16,1.23,False
806005,gmina_lubuskie_06_05,08,WH010,magazyn_wojewodzki_OC_lubuskie_10,1.0,1.11,1.29,False
807001,gmina_lubuskie_07_01,08,WH052,magazyn_WOT_lubuskie_52,1.21,1.28,1.7,False
807002,gmina_lubuskie_07_02,08,WH052,magazyn_WOT_lubuskie_52,0.71,0.94,1.37,False
807003,gmina_lubuskie_07_03,08,WH052,magazyn_WOT_lubuskie_52,0.89,1.03,1.53,False
807004,gmina_lubuskie_07_04,08,WH020,magazyn_WOT_lubuskie_20,0.52,0.65,1.02,False
