demand_id,priority,resource_type_id,warehouse_id,allocated_qty,travel_time_h,method
DEM00066,2,R16,WH002,56,1.27,fifo
DEM00110,2,R02,WH003,20,1.04,fifo
DEM00110,2,R02,WH004,62,2.06,fifo
DEM00090,2,R18,WH004,88,2.53,fifo
DEM00090,2,R18,WH005,9,1.71,fifo
DEM00074,2,R03,WH003,7,2.31,fifo
DEM00059,2,R09,WH001,209,2.54,fifo
DEM00059,2,R09,WH002,541,2.7,fifo
DEM00121,2,R05,WH003,279,3.95,fifo
DEM00118,2,R04,WH001,7,4.95,fifo
DEM00068,2,R19,WH003,24,1.59,fifo
DEM00068,2,R19,WH004,23,2.08,fifo
DEM00100,2,R05,WH003,732,2.38,fifo
DEM00098,2,R19,WH004,37,6.77,fifo
DEM00057,2,R02,WH004,38,1.92,fifo
DEM00057,2,R02,WH005,32,1.15,fifo
DEM00120,2,R04,WH001,50,0.92,fifo
DEM00153,2,R01,WH002,42,3.49,fifo
DEM00194,1,R06,WH002,588,2.13,fifo
DEM00146,2,R02,WH005,12,6.71,fifo
DEM00183,2,R20,WH004,99,2.93,fifo
DEM00183,2,R20,WH005,34,2.43,fifo
DEM00130,2,R20,WH005,21,4.87,fifo
DEM00130,2,R20,WH006,65,4.54,fifo
DEM00130,2,R20,WH007,7,6.98,fifo
DEM00126,2,R16,WH002,1545,2.7,fifo
DEM00176,2,R06,WH002,384,1.76,fifo
DEM00171,1,R18,WH005,75,3.57,fifo
DEM00171,1,R18,WH006,36,3.63,fifo
DEM00171,1,R18,WH007,19,2.99,fifo
DEM00169,2,R19,WH004,38,2.51,fifo
DEM00169,2,R19,WH005,46,1.81,fifo
DEM00200,2,R04,WH001,12,0.71,fifo
DEM00200,2,R04,WH002,16,0.83,fifo
DEM00195,1,R19,WH005,19,1.86,fifo
DEM00195,1,R19,WH006,51,2.05,fifo
DEM00178,2,R20,WH007,100,3.58,fifo
DEM00132,2,R03,WH003,20,1.42,fifo
DEM00132,2,R03,WH004,4,2.4,fifo
DEM00187,1,R06,WH002,116,6.59,fifo
DEM00187,1,R06,WH003,68,6.01,fifo
DEM00139,1,R17,WH001,87,1.54,fifo
DEM00191,2,R17,WH001,88,6.06,fifo
DEM00142,1,R09,WH002,779,2.01,fifo
DEM00142,1,R09,WH003,121,0.76,fifo
DEM00164,1,R05,WH003,49,1.35,fifo
DEM00164,1,R05,WH004,1392,2.36,fifo
DEM00164,1,R05,WH005,404,1.95,fifo
DEM00173,2,R09,WH003,627,1.49,fifo
DEM00158,1,R16,WH002,600,3.88,fifo
DEM00144,1,R16,WH002,378,1.13,fifo
DEM00160,1,R17,WH001,10,5.72,fifo
DEM00160,1,R17,WH002,47,5.82,fifo
DEM00167,1,R20,WH007,19,1.77,fifo
DEM00168,2,R19,WH007,14,3.26,fifo
DEM00168,2,R19,WH008,64,5.64,fifo
DEM00127,2,R01,WH002,3,0.88,fifo
DEM00127,2,R01,WH003,66,2.08,fifo
DEM00125,1,R03,WH004,72,1.33,fifo
DEM00147,2,R19,WH008,85,5.61,fifo
DEM00182,1,R03,WH004,50,1.65,fifo
DEM00182,1,R03,WH005,82,1.57,fifo
DEM00161,2,R09,WH003,1417,2.66,fifo
DEM00140,2,R03,WH005,2,3.15,fifo
DEM00140,2,R03,WH006,101,3.08,fifo
DEM00162,1,R03,WH006,12,1.82,fifo
DEM00162,1,R03,WH007,49,4.07,fifo
DEM00186,1,R05,WH005,301,4.53,fifo
DEM00154,2,R09,WH003,793,1.3,fifo
DEM00198,2,R02,WH005,87,5.18,fifo
DEM00174,2,R03,WH007,75,4.07,fifo
DEM00174,2,R03,WH008,25,5.61,fifo
DEM00134,1,R04,WH002,42,1.99,fifo
DEM00185,2,R02,WH005,30,1.99,fifo
DEM00185,2,R02,WH006,82,1.87,fifo
DEM00239,1,R01,WH003,34,1.89,fifo
DEM00239,1,R01,WH004,75,3.19,fifo
DEM00239,1,R01,WH005,41,2.59,fifo
DEM00233,2,R05,WH005,928,1.35,fifo
DEM00233,2,R05,WH006,827,1.14,fifo
DEM00206,2,R18,WH007,81,8.13,fifo
DEM00266,1,R09,WH003,595,3.98,fifo
DEM00203,2,R05,WH006,272,1.73,fifo
DEM00267,1,R01,WH005,49,3.05,fifo
DEM00267,1,R01,WH006,87,3.0,fifo
DEM00243,1,R18,WH007,55,3.15,fifo
DEM00243,1,R18,WH008,58,5.23,fifo
DEM00273,2,R04,WH002,49,1.12,fifo
DEM00273,2,R04,WH003,34,1.56,fifo
DEM00273,2,R04,WH004,36,1.52,fifo
DEM00282,1,R05,WH006,103,3.68,fifo
DEM00282,1,R05,WH007,698,6.22,fifo
DEM00257,1,R03,WH008,63,4.91,fifo
DEM00275,2,R03,WH008,26,4.96,fifo
DEM00237,1,R06,WH003,851,6.01,fifo
DEM00237,1,R06,WH004,139,7.54,fifo
DEM00226,2,R04,WH004,26,2.38,fifo
DEM00226,2,R04,WH005,115,1.63,fifo
DEM00241,2,R16,WH002,456,1.87,fifo
DEM00241,2,R16,WH003,84,1.45,fifo
DEM00223,2,R03,WH008,126,5.73,fifo
DEM00223,2,R03,WH009,3,2.68,fifo
DEM00220,2,R01,WH006,2,2.55,fifo
DEM00220,2,R01,WH007,97,4.38,fifo
DEM00271,1,R18,WH008,11,5.64,fifo
DEM00271,1,R18,WH009,55,2.3,fifo
DEM00253,1,R20,WH007,28,3.33,fifo
DEM00253,1,R20,WH008,59,5.29,fifo
DEM00213,1,R02,WH006,12,0.86,fifo
DEM00213,1,R02,WH007,82,3.43,fifo
DEM00213,1,R02,WH008,18,5.26,fifo
DEM00213,1,R02,WH009,15,2.58,fifo
DEM00260,2,R06,WH004,741,1.12,fifo
DEM00260,2,R06,WH005,1175,1.79,fifo
DEM00260,2,R06,WH006,86,1.93,fifo
DEM00254,2,R16,WH003,244,1.97,fifo
DEM00270,2,R20,WH008,8,5.67,fifo
DEM00270,2,R20,WH009,43,2.15,fifo
DEM00270,2,R20,WH010,45,4.75,fifo
DEM00242,2,R18,WH009,14,2.49,fifo
DEM00202,1,R17,WH002,81,1.19,fifo
DEM00202,1,R17,WH003,1,1.32,fifo
DEM00281,2,R09,WH003,143,4.23,fifo
DEM00281,2,R09,WH004,301,5.73,fifo
DEM00274,1,R06,WH006,1274,2.07,fifo
DEM00231,1,R01,WH007,21,2.26,fifo
DEM00246,1,R01,WH007,7,7.59,fifo
DEM00246,1,R01,WH008,31,1.66,fifo
DEM00217,2,R03,WH009,134,2.69,fifo
DEM00290,2,R18,WH009,42,3.64,fifo
DEM00240,2,R20,WH010,17,5.78,fifo
DEM00284,2,R05,WH007,402,3.66,fifo
DEM00287,1,R20,WH010,68,4.17,fifo
DEM00286,1,R04,WH005,52,2.78,fifo
DEM00286,1,R04,WH006,53,2.78,fifo
DEM00265,1,R02,WH009,54,3.38,fifo
DEM00291,1,R06,WH006,315,1.19,fifo
DEM00219,1,R16,WH003,620,1.01,fifo
DEM00256,1,R18,WH009,17,3.87,fifo
DEM00204,1,R19,WH008,110,3.95,fifo
DEM00285,2,R03,WH009,31,6.19,fifo
DEM00285,2,R03,WH010,44,1.47,fifo
DEM00279,1,R18,WH009,2,2.37,fifo
DEM00279,1,R18,WH010,129,4.91,fifo
DEM00259,2,R03,WH010,63,4.2,fifo
DEM00236,1,R02,WH009,69,3.64,fifo
DEM00236,1,R02,WH010,60,5.77,fifo
DEM00214,1,R09,WH004,728,1.92,fifo
DEM00251,2,R17,WH003,33,1.99,fifo
DEM00244,1,R17,WH003,73,1.7,fifo
DEM00244,1,R17,WH004,18,1.01,fifo
DEM00244,1,R17,WH005,35,1.45,fifo
DEM00272,2,R01,WH008,73,5.07,fifo
DEM00272,2,R01,WH009,63,2.87,fifo
DEM00272,2,R01,WH010,4,4.13,fifo
DEM00283,2,R18,WH010,44,5.04,fifo
DEM00283,2,R18,WH011,59,7.42,fifo
DEM00333,2,R04,WH006,58,0.79,fifo
DEM00333,2,R04,WH007,24,3.18,fifo
DEM00310,1,R04,WH007,25,3.4,fifo
DEM00310,1,R04,WH008,141,4.96,fifo
DEM00335,2,R20,WH010,113,2.92,fifo
DEM00335,2,R20,WH011,23,5.7,fifo
DEM00394,2,R03,WH010,106,5.04,fifo
DEM00367,2,R20,WH011,21,6.23,fifo
DEM00367,2,R20,WH012,33,6.06,fifo
DEM00307,1,R02,WH010,120,4.12,fifo
DEM00341,1,R19,WH008,22,6.05,fifo
DEM00341,1,R19,WH009,34,2.17,fifo
DEM00341,1,R19,WH010,30,5.26,fifo
DEM00341,1,R19,WH011,68,7.5,fifo
DEM00374,2,R19,WH011,92,4.76,fifo
DEM00300,1,R02,WH010,30,3.62,fifo
DEM00298,2,R19,WH011,142,6.3,fifo
DEM00298,2,R19,WH012,6,4.31,fifo
DEM00338,1,R05,WH007,610,3.6,fifo
DEM00353,1,R04,WH008,30,4.69,fifo
DEM00353,1,R04,WH009,48,3.35,fifo
DEM00327,1,R06,WH006,144,1.53,fifo
DEM00332,2,R20,WH012,104,4.93,fifo
DEM00340,2,R16,WH003,200,0.83,fifo
DEM00368,2,R20,WH012,46,4.96,fifo
DEM00351,2,R02,WH010,48,1.2,fifo
DEM00356,1,R05,WH007,649,6.28,fifo
DEM00356,1,R05,WH008,418,2.08,fifo
DEM00369,2,R17,WH005,62,2.39,fifo
DEM00386,2,R19,WH012,16,4.28,fifo
DEM00303,1,R20,WH012,6,5.06,fifo
DEM00303,1,R20,WH013,158,6.79,fifo
DEM00318,2,R05,WH008,846,6.58,fifo
DEM00395,1,R09,WH004,400,2.19,fifo
DEM00388,2,R02,WH010,36,4.12,fifo
DEM00388,2,R02,WH011,45,5.53,fifo
DEM00388,2,R02,WH012,22,4.94,fifo
DEM00388,2,R02,WH013,33,5.6,fifo
DEM00363,1,R03,WH010,98,4.23,fifo
DEM00363,1,R03,WH011,54,6.58,fifo
DEM00324,2,R04,WH009,64,3.53,fifo
DEM00323,1,R09,WH004,580,1.22,fifo
DEM00366,1,R16,WH003,279,4.12,fifo
DEM00381,1,R06,WH006,308,5.14,fifo
DEM00377,2,R17,WH005,4,2.52,fifo
DEM00377,2,R17,WH006,24,2.33,fifo
DEM00308,1,R17,WH006,159,0.8,fifo
DEM00308,1,R17,WH007,9,3.33,fifo
DEM00346,1,R17,WH007,22,3.31,fifo
DEM00375,1,R16,WH003,171,1.49,fifo
DEM00375,1,R16,WH004,681,1.61,fifo
DEM00387,2,R16,WH004,416,3.36,fifo
DEM00360,1,R06,WH006,752,2.7,fifo
DEM00360,1,R06,WH007,208,2.8,fifo
DEM00350,2,R05,WH008,800,5.65,fifo
DEM00304,1,R17,WH007,49,6.43,fifo
DEM00304,1,R17,WH008,9,2.61,fifo
DEM00384,2,R02,WH013,132,6.84,fifo
DEM00382,1,R06,WH007,1738,4.31,fifo
DEM00382,1,R06,WH008,350,4.06,fifo
DEM00320,1,R09,WH004,1023,5.14,fifo
DEM00385,1,R09,WH004,1401,2.39,fifo
DEM00385,1,R09,WH005,57,2.24,fifo
DEM00378,1,R17,WH008,42,4.65,fifo
DEM00295,1,R05,WH008,388,3.07,fifo
DEM00362,2,R05,WH008,1936,4.65,fifo
DEM00294,1,R09,WH005,780,1.29,fifo
DEM00315,2,R01,WH010,76,3.96,fifo
DEM00349,1,R06,WH008,1440,1.0,fifo
DEM00370,2,R02,WH013,11,8.82,fifo
DEM00370,2,R02,WH014,20,6.56,fifo
DEM00370,2,R02,WH015,50,2.42,fifo
DEM00312,1,R03,WH011,49,5.91,fifo
DEM00312,1,R03,WH012,41,4.66,fifo
DEM00383,1,R04,WH009,60,2.88,fifo
DEM00383,1,R04,WH010,44,4.12,fifo
DEM00305,1,R18,WH011,39,6.61,fifo
DEM00305,1,R18,WH012,15,4.93,fifo
DEM00326,1,R09,WH005,25,1.14,fifo
DEM00326,1,R09,WH006,1845,1.16,fifo
DEM00299,1,R03,WH012,43,4.65,fifo
DEM00299,1,R03,WH013,87,6.32,fifo
DEM00331,1,R01,WH010,81,3.87,fifo
DEM00331,1,R01,WH011,47,6.55,fifo
DEM00331,1,R01,WH012,2,5.2,fifo
DEM00339,2,R18,WH012,110,4.45,fifo
DEM00339,2,R18,WH013,66,5.45,fifo
DEM00393,2,R03,WH013,134,6.27,fifo
DEM00393,2,R03,WH014,32,7.51,fifo
DEM00297,2,R19,WH012,146,4.74,fifo
DEM00364,2,R09,WH006,392,2.6,fifo
DEM00441,2,R18,WH013,54,5.76,fifo
DEM00441,2,R18,WH014,47,8.04,fifo
DEM00410,1,R03,WH014,121,7.66,fifo
DEM00426,2,R06,WH008,1034,5.82,fifo
DEM00497,2,R05,WH008,336,5.29,fifo
DEM00406,1,R09,WH006,1690,2.14,fifo
DEM00406,1,R09,WH007,310,3.4,fifo
DEM00434,1,R16,WH004,885,2.43,fifo
DEM00430,1,R02,WH015,58,3.61,fifo
DEM00430,1,R02,WH016,91,7.3,fifo
DEM00430,1,R02,WH017,6,1.2,fifo
DEM00401,1,R16,WH004,743,4.99,fifo
DEM00401,1,R16,WH005,661,4.4,fifo
DEM00456,2,R03,WH014,46,6.08,fifo
DEM00456,2,R03,WH015,120,2.68,fifo
DEM00425,1,R19,WH012,24,4.54,fifo
DEM00425,1,R19,WH013,97,5.65,fifo
DEM00505,1,R16,WH005,203,1.19,fifo
DEM00505,1,R16,WH006,504,0.86,fifo
DEM00500,1,R03,WH015,40,2.27,fifo
DEM00500,1,R03,WH016,77,6.06,fifo
DEM00500,1,R03,WH017,33,1.59,fifo
DEM00489,2,R01,WH012,24,8.06,fifo
DEM00433,2,R05,WH008,460,1.69,fifo
DEM00433,2,R05,WH009,156,7.4,fifo
DEM00492,2,R20,WH013,37,10.46,fifo
DEM00492,2,R20,WH014,54,8.34,fifo
DEM00405,1,R02,WH017,103,2.23,fifo
DEM00397,2,R20,WH014,150,7.21,fifo
DEM00416,2,R17,WH008,27,5.29,fifo
DEM00504,2,R17,WH008,27,4.9,fifo
DEM00504,2,R17,WH009,83,3.19,fifo
DEM00504,2,R17,WH010,7,4.15,fifo
DEM00503,2,R16,WH006,240,2.25,fifo
DEM00473,2,R18,WH014,81,8.26,fifo
DEM00473,2,R18,WH015,119,2.98,fifo
DEM00452,1,R16,WH006,67,2.55,fifo
DEM00452,1,R16,WH007,128,4.38,fifo
DEM00498,2,R09,WH007,630,3.12,fifo
DEM00418,2,R16,WH007,255,2.97,fifo
DEM00447,1,R01,WH012,135,4.37,fifo
DEM00399,2,R18,WH015,27,3.41,fifo
DEM00412,1,R01,WH012,1,4.1,fifo
DEM00412,1,R01,WH013,48,5.64,fifo
DEM00510,2,R05,WH009,177,1.79,fifo
DEM00510,2,R05,WH010,903,5.36,fifo
DEM00414,2,R09,WH007,672,6.73,fifo
DEM00493,2,R18,WH015,56,1.5,fifo
DEM00488,2,R02,WH017,65,1.72,fifo
DEM00488,2,R02,WH018,7,4.9,fifo
DEM00420,1,R16,WH007,1135,2.56,fifo
DEM00420,1,R16,WH008,465,5.82,fifo
DEM00443,2,R02,WH018,112,4.95,fifo
DEM00448,1,R09,WH007,216,3.3,fifo
DEM00501,2,R19,WH013,8,7.74,fifo
DEM00501,2,R19,WH014,57,5.84,fifo
DEM00461,1,R20,WH014,17,7.97,fifo
DEM00461,1,R20,WH015,21,2.39,fifo
DEM00435,2,R05,WH010,126,3.93,fifo
DEM00409,2,R05,WH010,165,1.99,fifo
DEM00444,2,R20,WH015,47,3.37,fifo
DEM00508,2,R17,WH010,65,2.68,fifo
DEM00508,2,R17,WH011,19,5.14,fifo
DEM00474,1,R03,WH017,11,1.72,fifo
DEM00474,1,R03,WH018,123,4.9,fifo
DEM00474,1,R03,WH019,41,8.85,fifo
DEM00423,1,R09,WH007,165,3.63,fifo
DEM00490,1,R02,WH018,132,5.26,fifo
DEM00407,1,R06,WH008,792,5.76,fifo
DEM00439,1,R06,WH008,267,1.94,fifo
DEM00466,2,R09,WH007,945,3.66,fifo
DEM00419,1,R09,WH007,165,4.49,fifo
DEM00419,1,R09,WH008,231,3.87,fifo
DEM00429,1,R09,WH008,319,5.72,fifo
DEM00495,2,R05,WH010,815,4.81,fifo
DEM00495,2,R05,WH011,805,6.71,fifo
DEM00445,2,R06,WH008,183,5.5,fifo
DEM00445,2,R06,WH009,147,2.32,fifo
DEM00509,2,R04,WH010,78,3.9,fifo
DEM00480,2,R16,WH008,1148,4.27,fifo
DEM00486,2,R17,WH011,66,6.63,fifo
DEM00486,2,R17,WH012,80,4.44,fifo
DEM00408,2,R05,WH011,888,7.19,fifo
DEM00455,2,R04,WH010,143,5.24,fifo
DEM00455,2,R04,WH011,10,8.33,fifo
DEM00484,2,R16,WH008,390,3.81,fifo
DEM00465,1,R19,WH014,103,6.41,fifo
DEM00424,2,R06,WH009,552,7.63,fifo
DEM00483,1,R04,WH011,166,8.22,fifo
DEM00396,2,R20,WH015,49,2.13,fifo
DEM00496,2,R20,WH015,154,3.51,fifo
DEM00496,2,R20,WH016,30,7.29,fifo
DEM00588,2,R17,WH012,37,6.05,fifo
DEM00511,1,R16,WH008,560,5.07,fifo
DEM00551,2,R04,WH011,99,6.61,fifo
DEM00551,2,R04,WH012,41,3.74,fifo
DEM00563,1,R16,WH008,715,3.84,fifo
DEM00585,2,R04,WH012,47,4.1,fifo
DEM00564,1,R16,WH008,530,5.59,fifo
DEM00564,1,R16,WH009,740,2.19,fifo
DEM00566,2,R18,WH015,84,2.06,fifo
DEM00607,2,R01,WH013,32,5.93,fifo
DEM00512,2,R02,WH018,9,5.25,fifo
DEM00512,2,R02,WH019,103,6.88,fifo
DEM00542,1,R09,WH008,340,5.79,fifo
DEM00601,2,R06,WH009,201,4.0,fifo
DEM00609,2,R19,WH014,25,7.32,fifo
DEM00547,2,R20,WH016,38,6.56,fifo
DEM00547,2,R20,WH017,129,1.01,fifo
DEM00521,2,R18,WH015,54,3.63,fifo
DEM00521,2,R18,WH016,53,6.96,fifo
DEM00602,1,R04,WH012,28,5.8,fifo
DEM00602,1,R04,WH013,27,7.12,fifo
DEM00600,1,R03,WH019,53,9.53,fifo
DEM00600,1,R03,WH020,90,3.22,fifo
DEM00600,1,R03,WH021,32,6.58,fifo
DEM00518,1,R09,WH008,800,5.65,fifo
DEM00537,1,R17,WH013,195,6.64,fifo
DEM00552,2,R18,WH016,3,6.35,fifo
DEM00552,2,R18,WH017,52,1.25,fifo
DEM00578,1,R05,WH011,405,7.46,fifo
DEM00531,1,R02,WH019,11,9.4,fifo
DEM00531,1,R02,WH020,109,2.76,fifo
DEM00539,1,R04,WH013,36,8.77,fifo
DEM00543,2,R17,WH013,120,5.95,fifo
DEM00543,2,R17,WH014,100,8.31,fifo
DEM00535,2,R18,WH017,113,2.15,fifo
DEM00535,2,R18,WH018,36,3.45,fifo
DEM00535,2,R18,WH019,48,7.23,fifo
DEM00605,1,R16,WH009,264,7.36,fifo
DEM00519,2,R19,WH014,72,6.59,fifo
DEM00529,1,R06,WH009,1900,2.4,fifo
DEM00529,1,R06,WH010,140,4.48,fifo
DEM00541,1,R01,WH013,47,5.3,fifo
DEM00525,2,R02,WH020,142,4.52,fifo
DEM00596,2,R02,WH020,8,3.9,fifo
DEM00596,2,R02,WH021,76,5.81,fifo
DEM00596,2,R02,WH022,83,4.84,fifo
DEM00595,2,R04,WH013,67,5.78,fifo
DEM00589,1,R20,WH017,59,2.16,fifo
DEM00589,1,R20,WH018,68,3.36,fifo
DEM00567,2,R17,WH014,67,9.0,fifo
DEM00514,1,R09,WH008,297,5.19,fifo
DEM00514,1,R09,WH009,238,3.46,fifo
DEM00514,1,R09,WH010,1468,4.54,fifo
DEM00514,1,R09,WH011,657,7.8,fifo
DEM00569,1,R06,WH010,1440,5.39,fifo
DEM00515,1,R19,WH014,24,6.54,fifo
DEM00560,1,R02,WH022,33,4.54,fifo
DEM00560,1,R02,WH023,44,7.63,fifo
DEM00584,2,R19,WH014,39,8.56,fifo
DEM00584,2,R19,WH015,28,2.96,fifo
DEM00565,1,R03,WH021,175,4.87,fifo
DEM00606,1,R16,WH009,171,3.98,fifo
DEM00582,1,R09,WH011,608,7.19,fifo
DEM00582,1,R09,WH012,2122,5.32,fifo
DEM00533,2,R06,WH010,792,3.9,fifo
DEM00583,1,R06,WH010,184,5.07,fifo
DEM00583,1,R06,WH011,232,7.27,fifo
DEM00579,1,R18,WH019,32,8.91,fifo
DEM00579,1,R18,WH020,110,4.81,fifo
DEM00530,2,R18,WH020,102,3.64,fifo
DEM00526,2,R05,WH011,1600,7.39,fifo
DEM00597,2,R06,WH011,820,7.6,fifo
DEM00561,1,R09,WH012,1197,9.5,fifo
DEM00528,2,R18,WH020,67,4.75,fifo
DEM00528,2,R18,WH021,50,4.43,fifo
DEM00610,2,R02,WH023,148,8.61,fifo
DEM00538,1,R09,WH012,171,7.45,fifo
DEM00556,1,R19,WH015,110,2.86,fifo
DEM00555,2,R18,WH021,87,4.45,fifo
DEM00524,2,R04,WH013,157,5.56,fifo
DEM00559,1,R06,WH011,1365,6.6,fifo
DEM00550,1,R02,WH023,52,7.62,fifo
DEM00572,2,R06,WH011,2394,8.3,fifo
DEM00572,2,R06,WH012,30,5.26,fifo
DEM00576,1,R05,WH011,549,6.1,fifo
DEM00577,2,R16,WH009,420,2.65,fifo
DEM00573,1,R06,WH012,300,4.6,fifo
DEM00536,1,R20,WH018,112,3.79,fifo
DEM00536,1,R20,WH019,8,10.76,fifo
DEM00562,1,R20,WH019,132,7.87,fifo
DEM00592,2,R03,WH021,82,5.48,fifo
DEM00592,2,R03,WH022,138,4.98,fifo
DEM00575,1,R02,WH023,58,6.51,fifo
DEM00575,1,R02,WH024,141,2.33,fifo
DEM00575,1,R02,WH025,21,8.13,fifo
DEM00540,2,R04,WH013,3,5.56,fifo
DEM00540,2,R04,WH014,52,7.51,fifo
DEM00598,2,R06,WH012,660,3.9,fifo
DEM00557,1,R20,WH019,107,8.81,fifo
DEM00517,2,R02,WH025,220,8.06,fifo
DEM00558,2,R16,WH009,700,2.97,fifo
DEM00672,2,R20,WH019,63,8.72,fifo
DEM00672,2,R20,WH020,5,3.78,fifo
DEM00639,1,R17,WH014,24,8.0,fifo
DEM00639,1,R17,WH015,171,2.32,fifo
DEM00631,1,R17,WH015,96,2.71,fifo
DEM00686,2,R19,WH015,132,1.64,fifo
DEM00628,2,R05,WH011,240,6.18,fifo
DEM00633,2,R04,WH014,41,6.77,fifo
DEM00633,2,R04,WH015,44,1.36,fifo
DEM00622,1,R04,WH015,86,2.98,fifo
DEM00622,1,R04,WH016,48,6.56,fifo
DEM00617,2,R16,WH009,342,3.11,fifo
DEM00617,2,R16,WH010,1356,5.2,fifo
DEM00617,2,R16,WH011,172,8.18,fifo
DEM00635,2,R20,WH020,63,3.76,fifo
DEM00619,2,R05,WH011,286,7.51,fifo
DEM00651,2,R18,WH021,18,9.13,fifo
DEM00692,2,R16,WH011,380,6.9,fifo
DEM00641,2,R20,WH020,159,4.93,fifo
DEM00643,2,R02,WH025,64,10.95,fifo
DEM00643,2,R02,WH026,95,10.83,fifo
DEM00691,2,R20,WH020,64,1.85,fifo
DEM00691,2,R20,WH021,16,8.97,fifo
DEM00660,2,R16,WH011,952,6.75,fifo
DEM00694,1,R02,WH026,49,10.23,fifo
DEM00694,1,R02,WH027,77,7.79,fifo
DEM00697,2,R17,WH015,81,2.8,fifo
DEM00697,2,R17,WH016,28,6.56,fifo
DEM00697,2,R17,WH017,55,0.92,fifo
DEM00697,2,R17,WH018,58,4.67,fifo
DEM00652,2,R06,WH012,198,4.85,fifo
DEM00669,1,R01,WH013,156,6.46,fifo
DEM00700,2,R09,WH012,413,4.07,fifo
DEM00700,2,R09,WH013,2226,5.56,fifo
DEM00662,2,R17,WH018,52,5.26,fifo
DEM00702,2,R18,WH021,76,4.98,fifo
DEM00702,2,R18,WH022,12,4.13,fifo
DEM00693,1,R04,WH016,3,4.67,fifo
DEM00693,1,R04,WH017,13,2.97,fifo
DEM00634,1,R20,WH021,50,8.3,fifo
DEM00615,2,R09,WH013,3132,5.24,fifo
DEM00615,2,R09,WH014,123,8.02,fifo
DEM00687,2,R18,WH022,56,7.77,fifo
DEM00703,2,R17,WH018,62,3.41,fifo
DEM00703,2,R17,WH019,16,10.87,fifo
DEM00688,2,R09,WH014,776,8.36,fifo
