voivodeship_code,resource_type_id,available_qty,daily_consumption,days_of_stock,recommendation
8,R12,873,0.0,999.0,OK
8,R13,923,0.0,999.0,OK
8,R14,1035,0.0,999.0,OK
8,R15,655,0.0,999.0,OK
8,R16,17798,175.0,101.7,OK
8,R17,945,166.0,5.7,OK
8,R18,853,0.0,999.0,OK
8,R19,879,0.0,999.0,OK
8,R20,1021,0.0,999.0,OK
10,R01,602,0.0,999.0,OK
10,R02,212,0.0,999.0,OK
10,R03,581,0.0,999.0,OK
10,R04,429,299.6666666666667,1.4,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
10,R05,11682,347.0,33.7,OK
10,R06,9720,400.0,24.3,OK
10,R07,636,0.0,999.0,OK
10,R08,689,0.0,999.0,OK
10,R09,10578,0.0,999.0,OK
10,R10,677,0.0,999.0,OK
10,R11,437,0.0,999.0,OK
10,R12,957,0.0,999.0,OK
10,R13,568,0.0,999.0,OK
10,R14,607,0.0,999.0,OK
10,R15,663,0.0,999.0,OK
10,R16,3126,331.6666666666667,9.4,OK
10,R17,466,323.6666666666667,1.4,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
10,R18,616,0.0,999.0,OK
10,R19,589,0.0,999.0,OK
10,R20,904,0.0,999.0,OK
12,R01,482,0.0,999.0,OK
12,R02,415,0.0,999.0,OK
12,R03,748,0.0,999.0,OK
12,R04,391,371.6666666666667,1.1,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
12,R05,9326,325.6666666666667,28.6,OK
12,R06,10939,298.3333333333333,36.7,OK
12,R07,626,0.0,999.0,OK
12,R08,584,0.0,999.0,OK
12,R09,7739,0.0,999.0,OK
12,R10,901,0.0,999.0,OK
12,R11,315,0.0,999.0,OK
12,R12,701,0.0,999.0,OK
12,R13,461,0.0,999.0,OK
12,R14,349,0.0,999.0,OK
12,R15,581,0.0,999.0,OK
12,R16,8937,302.0,29.6,OK
12,R17,665,372.6666666666667,1.8,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
12,R18,674,0.0,999.0,OK
12,R19,526,0.0,999.0,OK
12,R20,341,0.0,999.0,OK
14,R01,671,0.0,999.0,OK
14,R02,689,0.0,999.0,OK
14,R03,640,0.0,999.0,OK
14,R04,462,1038.3333333333333,0.4,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
14,R05,17447,1027.0,17.0,OK
14,R06,7136,1045.3333333333333,6.8,OK
14,R07,743,0.0,999.0,OK
14,R08,706,0.0,999.0,OK
14,R09,10911,0.0,999.0,OK
14,R10,750,0.0,999.0,OK
14,R11,792,0.0,999.0,OK
14,R12,683,0.0,999.0,OK
14,R13,436,0.0,999.0,OK
14,R14,705,0.0,999.0,OK
14,R15,622,0.0,999.0,OK
14,R16,6183,1046.6666666666667,5.9,OK
14,R17,395,1008.6666666666666,0.4,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
14,R18,750,0.0,999.0,OK
14,R19,216,0.0,999.0,OK
14,R20,669,0.0,999.0,OK
16,R01,624,0.0,999.0,OK
16,R02,833,0.0,999.0,OK
16,R03,927,0.0,999.0,OK
16,R04,709,258.0,2.7,monitorowac_i_przygotowac_ARS
16,R05,10289,231.66666666666666,44.4,OK
16,R06,12291,295.0,41.7,OK
16,R07,867,0.0,999.0,OK
16,R08,576,0.0,999.0,OK
16,R09,12007,0.0,999.0,OK
16,R10,680,0.0,999.0,OK
16,R11,552,0.0,999.0,OK
16,R12,778,0.0,999.0,OK
16,R13,751,0.0,999.0,OK
16,R14,741,0.0,999.0,OK
16,R15,774,0.0,999.0,OK
16,R16,10170,296.3333333333333,34.3,OK
16,R17,660,224.33333333333334,2.9,monitorowac_i_przygotowac_ARS
16,R18,671,0.0,999.0,OK
16,R19,441,0.0,999.0,OK
16,R20,681,0.0,999.0,OK
18,R01,890,0.0,999.0,OK
18,R02,766,0.0,999.0,OK
18,R03,751,0.0,999.0,OK
18,R04,476,410.3333333333333,1.2,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
18,R05,6743,473.0,14.3,OK
18,R06,13043,493.0,26.5,OK
18,R07,894,0.0,999.0,OK
18,R08,490,0.0,999.0,OK
18,R09,9764,0.0,999.0,OK
18,R10,672,0.0,999.0,OK
18,R11,324,0.0,999.0,OK
18,R12,175,0.0,999.0,OK
18,R13,882,0.0,999.0,OK
18,R14,668,0.0,999.0,OK
18,R15,513,0.0,999.0,OK
18,R16,8780,547.6666666666666,16.0,OK
18,R17,689,473.6666666666667,1.5,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
18,R18,582,0.0,999.0,OK
18,R19,362,0.0,999.0,OK
18,R20,723,0.0,999.0,OK
20,R01,570,0.0,999.0,OK
20,R02,447,0.0,999.0,OK
20,R03,691,0.0,999.0,OK
20,R04,356,246.33333333333334,1.4,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
20,R05,2632,245.66666666666666,10.7,OK
20,R06,15923,179.0,89.0,OK
20,R07,264,0.0,999.0,OK
20,R08,464,0.0,999.0,OK
20,R09,18918,0.0,999.0,OK
20,R10,494,0.0,999.0,OK
20,R11,928,0.0,999.0,OK
20,R12,702,0.0,999.0,OK
20,R13,449,0.0,999.0,OK
20,R14,513,0.0,999.0,OK
20,R15,732,0.0,999.0,OK
20,R16,12847,208.66666666666666,61.6,OK
20,R17,589,243.0,2.4,monitorowac_i_przygotowac_ARS
20,R18,897,0.0,999.0,OK
20,R19,419,0.0,999.0,OK
20,R20,353,0.0,999.0,OK
22,R01,231,0.0,999.0,OK
22,R02,639,0.0,999.0,OK
22,R03,964,0.0,999.0,OK
22,R04,821,384.0,2.1,monitorowac_i_przygotowac_ARS
22,R05,17937,321.3333333333333,55.8,OK
22,R06,16851,306.6666666666667,54.9,OK
22,R07,654,0.0,999.0,OK
22,R08,674,0.0,999.0,OK
22,R09,11780,0.0,999.0,OK
22,R10,908,0.0,999.0,OK
22,R11,576,0.0,999.0,OK
22,R12,540,0.0,999.0,OK
22,R13,895,0.0,999.0,OK
22,R14,609,0.0,999.0,OK
22,R15,685,0.0,999.0,OK
22,R16,10204,352.3333333333333,29.0,OK
22,R17,237,331.0,0.7,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
22,R18,594,0.0,999.0,OK
22,R19,768,0.0,999.0,OK
22,R20,667,0.0,999.0,OK
24,R01,727,0.0,999.0,OK
24,R02,348,0.0,999.0,OK
24,R03,355,0.0,999.0,OK
24,R04,492,900.6666666666666,0.5,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
24,R05,12390,1017.0,12.2,OK
24,R06,11939,899.0,13.3,OK
24,R07,384,0.0,999.0,OK
24,R08,518,0.0,999.0,OK
24,R09,11002,0.0,999.0,OK
24,R10,874,0.0,999.0,OK
24,R11,895,0.0,999.0,OK
24,R12,470,0.0,999.0,OK
24,R13,745,0.0,999.0,OK
24,R14,745,0.0,999.0,OK
24,R15,713,0.0,999.0,OK
24,R16,13910,966.0,14.4,OK
24,R17,432,890.0,0.5,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
24,R18,571,0.0,999.0,OK
24,R19,807,0.0,999.0,OK
24,R20,593,0.0,999.0,OK
26,R01,643,0.0,999.0,OK
26,R02,358,0.0,999.0,OK
26,R03,695,0.0,999.0,OK
26,R04,647,327.0,2.0,monitorowac_i_przygotowac_ARS
26,R05,7461,295.6666666666667,25.2,OK
26,R06,11071,333.0,33.2,OK
26,R07,657,0.0,999.0,OK
26,R08,928,0.0,999.0,OK
26,R09,7943,0.0,999.0,OK
26,R10,548,0.0,999.0,OK
26,R11,776,0.0,999.0,OK
26,R12,659,0.0,999.0,OK
26,R13,481,0.0,999.0,OK
26,R14,645,0.0,999.0,OK
26,R15,488,0.0,999.0,OK
26,R16,7193,287.0,25.1,OK
26,R17,553,314.6666666666667,1.8,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
26,R18,315,0.0,999.0,OK
26,R19,470,0.0,999.0,OK
26,R20,426,0.0,999.0,OK
28,R01,411,0.0,999.0,OK
28,R02,185,0.0,999.0,OK
28,R03,535,0.0,999.0,OK
28,R04,662,337.0,2.0,monitorowac_i_przygotowac_ARS
28,R05,8793,267.6666666666667,32.9,OK
28,R06,6954,267.0,26.0,OK
28,R07,368,0.0,999.0,OK
28,R08,255,0.0,999.0,OK
28,R09,10686,0.0,999.0,OK
28,R10,580,0.0,999.0,OK
28,R11,860,0.0,999.0,OK
28,R12,845,0.0,999.0,OK
28,R13,694,0.0,999.0,OK
28,R14,616,0.0,999.0,OK
28,R15,650,0.0,999.0,OK
28,R16,4615,268.3333333333333,17.2,OK
28,R17,562,238.33333333333334,2.4,monitorowac_i_przygotowac_ARS
28,R18,300,0.0,999.0,OK
28,R19,569,0.0,999.0,OK
28,R20,371,0.0,999.0,OK
30,R01,655,0.0,999.0,OK
30,R02,591,0.0,999.0,OK
30,R03,351,0.0,999.0,OK
30,R04,516,826.6666666666666,0.6,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
30,R05,9459,714.3333333333334,13.2,OK
30,R06,13603,646.3333333333334,21.0,OK
30,R07,601,0.0,999.0,OK
30,R08,787,0.0,999.0,OK
30,R09,9645,0.0,999.0,OK
30,R10,586,0.0,999.0,OK
30,R11,911,0.0,999.0,OK
30,R12,690,0.0,999.0,OK
30,R13,595,0.0,999.0,OK
30,R14,424,0.0,999.0,OK
30,R15,658,0.0,999.0,OK
30,R16,8462,675.0,12.5,OK
30,R17,777,755.0,1.0,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
30,R18,769,0.0,999.0,OK
30,R19,816,0.0,999.0,OK
30,R20,666,0.0,999.0,OK
32,R01,603,0.0,999.0,OK
32,R02,516,0.0,999.0,OK
32,R03,454,0.0,999.0,OK
32,R04,618,466.6666666666667,1.3,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
32,R05,7801,442.6666666666667,17.6,OK
32,R06,11585,540.3333333333334,21.4,OK
32,R07,529,0.0,999.0,OK
32,R08,715,0.0,999.0,OK
32,R09,7996,0.0,999.0,OK
32,R10,336,0.0,999.0,OK
32,R11,635,0.0,999.0,OK
32,R12,480,0.0,999.0,OK
32,R13,503,0.0,999.0,OK
32,R14,713,0.0,999.0,OK
32,R15,822,0.0,999.0,OK
32,R16,2651,476.0,5.6,OK
32,R17,479,434.0,1.1,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
32,R18,339,0.0,999.0,OK
32,R19,366,0.0,999.0,OK
32,R20,459,0.0,999.0,OK
