shelter_id,shelter_name,shelter_type,gmina_code,capacity,has_kitchen,has_medical_room,accessible_disabled,lat,lon
SH0115,punkt_przyjecia_0115,szkola,0402002,95,1,0,1,53.14869,17.10396
SH0116,punkt_przyjecia_0116,hala,0211003,636,0,1,1,51.53298,17.22989
SH0117,punkt_przyjecia_0117,internat,0209001,546,1,1,0,50.88704,16.8009
SH0118,punkt_przyjecia_0118,internat,0206004,446,1,0,0,50.38921,16.22319
SH0119,punkt_przyjecia_0119,osrodek,0208005,616,1,1,1,51.79658,16.20943
SH0120,punkt_przyjecia_0120,hala,0219001,390,1,1,0,50.91866,17.4885
SH0121,punkt_przyjecia_0121,szkola,0405001,198,1,1,1,52.96863,18.66555
SH0122,punkt_przyjecia_0122,szkola,0218005,301,0,1,1,51.42379,17.34358
SH0123,punkt_przyjecia_0123,szkola,0202006,613,1,0,1,50.71928,17.54774
SH0124,punkt_przyjecia_0124,szkola,0409001,410,0,1,0,53.15449,18.46248
SH0125,punkt_przyjecia_0125,hala,0407002,113,1,1,1,52.74471,16.57274
SH0126,punkt_przyjecia_0126,internat,0208001,386,1,1,1,51.67651,16.15662
SH0127,punkt_przyjecia_0127,internat,0220002,448,1,0,1,51.54939,16.59624
SH0128,punkt_przyjecia_0128,internat,0210001,527,0,0,1,52.14768,16.63369
SH0129,punkt_przyjecia_0129,szkola,0406003,75,1,0,0,53.2071,19.25884
SH0130,punkt_przyjecia_0130,internat,0208001,282,1,1,0,51.69072,16.13579
SH0131,punkt_przyjecia_0131,internat,0201001,516,0,1,1,50.98051,16.28098
SH0132,punkt_przyjecia_0132,internat,0211007,430,0,1,1,51.75615,17.27498
SH0133,punkt_przyjecia_0133,internat,0212005,370,1,0,1,50.6534,16.33517
SH0134,punkt_przyjecia_0134,internat,0228004,230,0,1,1,51.42035,16.68257
SH0135,punkt_przyjecia_0135,hala,0207003,395,1,1,1,51.19727,16.52332
SH0136,punkt_przyjecia_0136,hala,0213001,196,1,0,1,51.43231,17.02958
SH0137,punkt_przyjecia_0137,szkola,0408007,156,1,0,1,53.28265,17.50106
SH0138,punkt_przyjecia_0138,szkola,0224002,621,0,1,0,51.45978,16.76713
SH0139,punkt_przyjecia_0139,osrodek,0230003,501,1,0,0,50.80522,16.34551
SH0140,punkt_przyjecia_0140,szkola,0203002,145,0,0,1,51.44174,17.6008
SH0141,punkt_przyjecia_0141,internat,0224003,211,1,1,1,51.51051,16.92746
SH0142,punkt_przyjecia_0142,hala,0220006,258,1,1,1,51.74325,16.36789
SH0143,punkt_przyjecia_0143,szkola,0203002,419,1,1,0,51.36393,17.53453
SH0144,punkt_przyjecia_0144,hala,0404002,623,0,0,1,53.30111,17.44262
SH0145,punkt_przyjecia_0145,szkola,0203005,571,1,1,1,51.18244,17.37712
SH0146,punkt_przyjecia_0146,hala,0227006,358,1,0,0,51.36368,16.63816
SH0147,punkt_przyjecia_0147,szkola,0217001,296,0,1,1,51.24384,16.54468
SH0148,punkt_przyjecia_0148,hala,0408001,372,1,0,1,53.37161,17.2419
SH0149,punkt_przyjecia_0149,szkola,0224002,560,1,0,1,51.48425,16.7764
SH0150,punkt_przyjecia_0150,szkola,0225006,247,1,1,1,52.08287,18.01068
SH0151,punkt_przyjecia_0151,osrodek,0217005,515,0,0,1,51.00899,16.59967
SH0152,punkt_przyjecia_0152,osrodek,0407004,630,1,0,0,52.6766,16.83805
SH0153,punkt_przyjecia_0153,osrodek,0209005,191,1,0,0,50.70191,16.62775
SH0154,punkt_przyjecia_0154,osrodek,0211001,286,0,1,1,51.5924,17.08863
SH0155,punkt_przyjecia_0155,hala,0216005,464,1,0,0,51.26916,17.32775
SH0156,punkt_przyjecia_0156,osrodek,0227005,210,1,0,1,51.61625,16.9323
SH0157,punkt_przyjecia_0157,osrodek,0218009,302,0,0,0,51.81632,17.09882
SH0158,punkt_przyjecia_0158,szkola,0407002,166,0,1,0,52.73734,16.58841
SH0159,punkt_przyjecia_0159,internat,0201003,68,1,1,0,51.15636,16.60398
SH0160,punkt_przyjecia_0160,szkola,0225007,237,1,1,0,51.94808,18.14741
SH0161,punkt_przyjecia_0161,hala,0203006,250,0,0,1,51.31029,17.3892
SH0162,punkt_przyjecia_0162,osrodek,0221001,283,1,1,0,51.00032,17.48338
SH0163,punkt_przyjecia_0163,osrodek,0206002,224,1,1,1,50.68541,16.25763
SH0164,punkt_przyjecia_0164,szkola,0405003,417,0,0,1,52.98087,18.40814
SH0165,punkt_przyjecia_0165,hala,0405003,641,1,1,0,52.94011,18.42244
SH0166,punkt_przyjecia_0166,osrodek,0215006,242,0,0,1,50.91284,17.37006
SH0167,punkt_przyjecia_0167,internat,0207004,570,1,0,1,51.2361,16.91369
SH0168,punkt_przyjecia_0168,osrodek,0403004,121,1,0,1,52.55763,19.07963
SH0169,punkt_przyjecia_0169,szkola,0225004,527,0,0,0,51.70011,18.02332
SH0170,punkt_przyjecia_0170,osrodek,0227004,142,0,0,0,50.88632,16.75073
SH0171,punkt_przyjecia_0171,hala,0613003,307,0,1,1,50.99444,21.69332
SH0172,punkt_przyjecia_0172,szkola,1428002,278,0,0,0,51.87652,21.18334
SH0173,punkt_przyjecia_0173,hala,0615005,175,1,1,1,50.20733,22.8911
SH0174,punkt_przyjecia_0174,osrodek,1433003,458,0,0,0,51.84819,21.65258
SH0175,punkt_przyjecia_0175,osrodek,1217002,271,1,1,0,49.71276,20.46771
SH0176,punkt_przyjecia_0176,osrodek,1213003,82,1,0,1,49.94958,20.4159
SH0177,punkt_przyjecia_0177,internat,2816001,523,1,0,1,54.31571,20.08205
SH0178,punkt_przyjecia_0178,szkola,1420002,527,1,0,1,52.24978,21.31111
SH0179,punkt_przyjecia_0179,internat,0605006,381,0,0,0,51.86591,22.8688
SH0180,punkt_przyjecia_0180,szkola,1435007,598,0,0,1,52.44833,21.08709
SH0181,punkt_przyjecia_0181,osrodek,0203002,411,1,1,1,51.41593,17.55405
SH0182,punkt_przyjecia_0182,osrodek,0807001,218,1,1,1,52.12563,15.30389
SH0183,punkt_przyjecia_0183,internat,1012004,631,1,1,0,51.26048,18.92255
SH0184,punkt_przyjecia_0184,internat,3024004,396,0,1,0,51.02321,17.20118
SH0185,punkt_przyjecia_0185,szkola,3030006,625,0,1,1,52.42313,17.97773
SH0186,punkt_przyjecia_0186,szkola,0619002,387,1,1,1,50.63759,22.72488
SH0187,punkt_przyjecia_0187,szkola,1004004,499,1,0,0,51.69567,19.29069
SH0188,punkt_przyjecia_0188,hala,2016001,292,1,0,1,53.84854,23.32426
SH0189,punkt_przyjecia_0189,hala,2417005,521,1,1,1,50.52496,18.93569
SH0190,punkt_przyjecia_0190,osrodek,0227005,268,1,1,1,51.60791,16.93172
SH0191,punkt_przyjecia_0191,szkola,2013002,244,1,1,1,53.64699,22.9865
SH0192,punkt_przyjecia_0192,hala,2008003,88,1,0,1,52.8458,24.91395
SH0193,punkt_przyjecia_0193,szkola,1418005,485,0,1,1,52.47317,21.99404
SH0194,punkt_przyjecia_0194,internat,2005004,225,0,1,0,52.80233,23.02424
SH0195,punkt_przyjecia_0195,hala,1008001,491,1,1,1,51.29112,18.9545
SH0196,punkt_przyjecia_0196,hala,1013002,512,1,0,0,51.42828,19.68885
SH0197,punkt_przyjecia_0197,szkola,2406003,530,1,0,1,50.79847,18.54965
SH0198,punkt_przyjecia_0198,osrodek,1023002,249,0,0,1,51.47219,19.14209
SH0199,punkt_przyjecia_0199,hala,2406001,182,1,0,1,50.5145,18.94431
SH0200,punkt_przyjecia_0200,hala,1429006,510,1,0,1,52.13521,21.60409
SH0201,punkt_przyjecia_0201,internat,0616002,384,1,1,0,51.49548,22.27325
SH0202,punkt_przyjecia_0202,internat,0225006,223,1,0,1,52.08615,18.01187
SH0203,punkt_przyjecia_0203,hala,1402002,613,1,1,0,52.16905,20.06174
SH0204,punkt_przyjecia_0204,osrodek,2436006,475,0,0,0,50.32651,18.64459
SH0205,punkt_przyjecia_0205,hala,1611001,503,0,0,0,50.56715,18.27434
SH0206,punkt_przyjecia_0206,szkola,1402004,471,1,0,1,52.37773,20.03996
SH0207,punkt_przyjecia_0207,internat,1206007,263,0,0,1,50.07897,20.32659
SH0208,punkt_przyjecia_0208,osrodek,1814004,522,0,0,0,49.57441,22.41498
SH0209,punkt_przyjecia_0209,osrodek,0414004,314,1,1,0,52.23027,18.25818
SH0210,punkt_przyjecia_0210,internat,2003005,424,1,1,1,53.61714,23.58903
SH0211,punkt_przyjecia_0211,osrodek,3014006,337,0,0,1,52.71385,17.08873
SH0212,punkt_przyjecia_0212,szkola,0218005,615,0,0,1,51.44331,17.34122
SH0213,punkt_przyjecia_0213,hala,1426002,188,1,1,1,52.70674,20.49768
SH0214,punkt_przyjecia_0214,osrodek,3209002,287,0,0,1,53.39359,15.61318
SH0215,punkt_przyjecia_0215,szkola,0225004,324,1,0,1,51.66729,17.99296
SH0216,punkt_przyjecia_0216,internat,3219004,436,0,0,1,53.01718,14.63572
SH0217,punkt_przyjecia_0217,osrodek,1824007,424,0,0,1,50.04557,22.64047
SH0218,punkt_przyjecia_0218,szkola,2421004,340,1,1,0,50.85599,18.36711
SH0219,punkt_przyjecia_0219,hala,2209006,570,0,1,1,54.63923,18.47952
SH0220,punkt_przyjecia_0220,szkola,1422005,565,1,1,1,52.43944,21.18712
SH0221,punkt_przyjecia_0221,szkola,2421003,396,1,0,1,50.50857,18.54414
SH0222,punkt_przyjecia_0222,hala,3004001,549,1,0,1,51.91457,17.50453
SH0223,punkt_przyjecia_0223,internat,2012005,143,1,1,1,53.43813,23.87161
SH0224,punkt_przyjecia_0224,osrodek,0414006,351,0,1,0,52.06808,18.74551
SH0225,punkt_przyjecia_0225,szkola,1804007,77,0,0,1,50.15075,22.54113
SH0226,punkt_przyjecia_0226,osrodek,1607008,187,1,1,1,51.0216,16.87528
SH0227,punkt_przyjecia_0227,osrodek,2404004,634,0,1,1,50.48994,18.51165
SH0228,punkt_przyjecia_0228,osrodek,2220005,178,1,1,0,54.84159,17.66872
SH0229,punkt_przyjecia_0229,hala,3026004,369,1,0,1,52.25902,16.77934
SH0230,punkt_przyjecia_0230,internat,1206001,386,1,0,0,50.06119,20.17023
SH0231,punkt_przyjecia_0231,hala,2205004,591,1,1,1,54.46244,19.30196
SH0232,punkt_przyjecia_0232,osrodek,3201002,112,1,0,0,53.37961,14.24671
SH0233,punkt_przyjecia_0233,szkola,2403002,301,1,1,1,50.2304,18.26832
SH0234,punkt_przyjecia_0234,osrodek,1609007,173,1,1,1,51.07745,17.6604
SH0235,punkt_przyjecia_0235,internat,1216008,79,0,1,1,49.42246,19.87823
SH0236,punkt_przyjecia_0236,osrodek,3208005,143,0,0,1,52.74521,13.74195
SH0237,punkt_przyjecia_0237,internat,2604003,264,0,1,1,50.30226,20.98756
SH0238,punkt_przyjecia_0238,hala,2425001,528,1,0,0,50.50785,19.14155
SH0239,punkt_przyjecia_0239,internat,2820001,335,0,1,1,52.75999,20.30703
SH0240,punkt_przyjecia_0240,szkola,1017005,80,0,0,0,51.2839,19.68427
SH0241,punkt_przyjecia_0241,osrodek,1440005,379,1,1,1,52.34899,20.81294
SH0242,punkt_przyjecia_0242,hala,0606003,160,1,1,1,51.19185,22.44644
SH0243,punkt_przyjecia_0243,hala,1802004,343,1,0,1,49.96847,21.6636
SH0244,punkt_przyjecia_0244,hala,1210003,527,1,1,0,50.42203,19.91056
SH0245,punkt_przyjecia_0245,szkola,0216004,339,1,1,1,51.14147,16.75222
SH0246,punkt_przyjecia_0246,internat,1415004,144,1,0,1,52.40523,21.90392
SH0247,punkt_przyjecia_0247,internat,0416003,567,0,1,1,53.56527,17.87311
SH0248,punkt_przyjecia_0248,hala,2407005,302,1,1,1,49.69566,19.13223
SH0249,punkt_przyjecia_0249,internat,2209001,470,1,0,1,54.70577,18.54942
SH0250,punkt_przyjecia_0250,hala,2218007,332,1,0,0,54.29444,17.04463
SH0251,punkt_przyjecia_0251,szkola,1003006,200,1,1,1,51.24774,20.59587
SH0252,punkt_przyjecia_0252,internat,0615003,155,0,0,1,50.37297,22.96366
SH0253,punkt_przyjecia_0253,hala,1222001,123,1,0,1,50.6722,20.19546
SH0254,punkt_przyjecia_0254,internat,3002008,485,0,1,0,52.3615,16.55804
SH0255,punkt_przyjecia_0255,hala,0402003,238,1,0,1,53.31397,17.09957
SH0256,punkt_przyjecia_0256,internat,0624007,327,0,0,1,51.21863,22.50925
SH0257,punkt_przyjecia_0257,internat,0809001,311,1,1,1,54.0432,14.22988
SH0258,punkt_przyjecia_0258,osrodek,3011005,129,1,0,1,52.4384,16.62383
SH0259,punkt_przyjecia_0259,internat,2425002,232,0,0,1,50.42589,18.98088
SH0260,punkt_przyjecia_0260,internat,3022001,499,1,0,1,52.66826,16.75275
SH0261,punkt_przyjecia_0261,internat,1011001,323,0,1,1,51.62233,18.62753
SH0262,punkt_przyjecia_0262,osrodek,2430002,314,0,1,1,50.42571,18.77014
SH0263,punkt_przyjecia_0263,osrodek,1417001,124,0,1,1,52.57618,20.29819
SH0264,punkt_przyjecia_0264,internat,3005002,284,1,1,1,52.8325,16.48142
SH0265,punkt_przyjecia_0265,osrodek,1412002,88,0,1,1,52.41598,21.31892
SH0266,punkt_przyjecia_0266,szkola,2423005,204,1,1,1,50.20515,19.5267
SH0267,punkt_przyjecia_0267,hala,1441005,240,1,0,0,52.41114,22.21271
SH0268,punkt_przyjecia_0268,osrodek,1432007,341,1,1,1,52.86198,20.92915
SH0269,punkt_przyjecia_0269,szkola,1809001,337,1,1,1,49.37772,22.96003
SH0270,punkt_przyjecia_0270,hala,0812001,179,1,0,1,52.55849,14.29213
SH0271,punkt_przyjecia_0271,internat,1407003,591,1,0,1,52.06998,20.73062
SH0272,punkt_przyjecia_0272,hala,1006007,348,1,0,1,51.89287,18.76066
SH0273,punkt_przyjecia_0273,internat,0411004,595,1,0,1,52.88095,17.11602
SH0274,punkt_przyjecia_0274,osrodek,2404001,639,1,1,1,50.6333,18.40401
SH0275,punkt_przyjecia_0275,internat,3019001,606,0,1,1,52.74736,16.49871
SH0276,punkt_przyjecia_0276,szkola,2408005,612,1,1,0,50.19124,18.49082
SH0277,punkt_przyjecia_0277,internat,1215004,299,0,1,1,49.88673,20.67518
SH0278,punkt_przyjecia_0278,szkola,2212005,572,0,1,0,54.5191,18.90908
SH0279,punkt_przyjecia_0279,internat,3205006,277,1,0,1,54.16267,15.10351
SH0280,punkt_przyjecia_0280,szkola,2611003,122,1,0,1,50.77948,21.76713
SH0281,punkt_przyjecia_0281,osrodek,2004002,209,1,0,1,53.28665,23.13926
SH0282,punkt_przyjecia_0282,internat,2213001,254,1,0,1,53.86138,18.64556
SH0283,punkt_przyjecia_0283,hala,3016002,460,1,1,0,52.22747,16.95076
SH0284,punkt_przyjecia_0284,hala,2804005,281,1,0,1,54.26473,20.37385
SH0285,punkt_przyjecia_0285,internat,1433005,447,0,0,1,51.93012,21.49623
SH0286,punkt_przyjecia_0286,szkola,2803001,68,1,1,1,54.40944,20.39143
SH0287,punkt_przyjecia_0287,osrodek,2212002,400,1,0,1,54.43856,19.1729
SH0288,punkt_przyjecia_0288,hala,2402001,520,1,1,0,49.62369,18.4933
SH0289,punkt_przyjecia_0289,hala,2605004,639,1,0,1,51.3184,19.20305
SH0290,punkt_przyjecia_0290,szkola,3013004,300,1,1,1,53.22566,17.51292
SH0291,punkt_przyjecia_0291,szkola,2215004,541,1,1,0,53.99036,18.90621
SH0292,punkt_przyjecia_0292,internat,0423004,146,0,0,1,52.75342,18.2099
SH0293,punkt_przyjecia_0293,internat,0810003,257,1,0,1,52.94488,15.30027
SH0294,punkt_przyjecia_0294,szkola,1024006,636,1,1,1,51.7508,19.26578
SH0295,punkt_przyjecia_0295,internat,1425004,67,1,1,1,52.26947,20.58557
SH0296,punkt_przyjecia_0296,hala,1813006,170,1,0,1,50.77938,21.70359
SH0297,punkt_przyjecia_0297,osrodek,2433001,452,1,0,1,50.41604,18.45066
SH0298,punkt_przyjecia_0298,internat,1819007,473,0,1,1,50.20359,21.88771
SH0299,punkt_przyjecia_0299,internat,1436006,270,1,0,1,51.82938,21.17991
SH0300,punkt_przyjecia_0300,szkola,1421002,261,0,1,1,51.95075,21.11913
SH0301,punkt_przyjecia_0301,szkola,2607004,395,1,1,1,50.64293,21.60095
SH0302,punkt_przyjecia_0302,szkola,3017001,442,1,1,0,52.54629,17.74218
SH0303,punkt_przyjecia_0303,hala,2002006,328,0,1,1,53.25144,23.21524
SH0304,punkt_przyjecia_0304,szkola,0414001,347,0,0,1,51.89029,18.12278
SH0305,punkt_przyjecia_0305,hala,0220005,479,1,0,1,51.84685,16.41168
SH0306,punkt_przyjecia_0306,szkola,1210004,99,0,0,1,50.26586,19.86357
SH0307,punkt_przyjecia_0307,hala,1006006,141,0,0,0,51.67468,18.84861
SH0308,punkt_przyjecia_0308,internat,0804001,647,1,1,0,53.10835,15.33386
SH0309,punkt_przyjecia_0309,hala,0620003,178,0,0,1,51.47237,22.56778
SH0310,punkt_przyjecia_0310,osrodek,2604003,584,0,1,1,50.28192,20.95724
SH0311,punkt_przyjecia_0311,hala,2015006,505,1,1,0,53.2207,22.55479
SH0312,punkt_przyjecia_0312,hala,0620004,138,1,0,1,51.36457,22.56436
SH0313,punkt_przyjecia_0313,szkola,1803002,624,0,0,0,49.85975,21.85885
SH0314,punkt_przyjecia_0314,szkola,3207007,304,1,1,1,53.47984,14.06663
SH0315,punkt_przyjecia_0315,internat,1803005,185,1,1,0,49.96882,21.8425
SH0316,punkt_przyjecia_0316,hala,2217002,154,1,0,1,54.81422,18.26392
SH0317,punkt_przyjecia_0317,hala,0418006,408,1,0,1,53.963,17.35428
