financial_request_id,timestamp,applicant,voivodeship_code,amount_pln,purpose,status,approval_path
FIN0024,2026-09-20T02:00:00+02:00,minister_wiodacy,24,148748,transport_rezerw,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0025,2026-09-21T21:00:00+02:00,minister_wiodacy,02,8084892,transport_rezerw,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0026,2026-09-19T06:00:00+02:00,wojewoda,16,4754941,odtworzenie_sil_i_srodkow,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0027,2026-09-17T04:00:00+02:00,starosta,24,291672,zakup_wody_i_zywnosci,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0028,2026-09-21T11:00:00+02:00,wojewoda,24,6341163,zakwaterowanie_ewakuowanych,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0029,2026-09-23T09:00:00+02:00,wojewoda,16,7603143,zakwaterowanie_ewakuowanych,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0030,2026-09-18T14:00:00+02:00,minister_wiodacy,30,7305274,odtworzenie_sil_i_srodkow,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0031,2026-09-24T05:00:00+02:00,minister_wiodacy,30,6278728,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0032,2026-09-16T18:00:00+02:00,wojewoda,08,798798,zakup_paliwa,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0033,2026-09-19T05:00:00+02:00,starosta,16,1960808,transport_rezerw,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0034,2026-09-15T20:00:00+02:00,starosta,24,2191220,zakwaterowanie_ewakuowanych,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0035,2026-09-22T12:00:00+02:00,minister_wiodacy,08,5421754,transport_rezerw,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0036,2026-09-24T14:00:00+02:00,starosta,16,3054279,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0037,2026-09-21T03:00:00+02:00,wojewoda,02,6377336,zakwaterowanie_ewakuowanych,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0038,2026-09-19T14:00:00+02:00,wojewoda,16,449718,zakwaterowanie_ewakuowanych,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0039,2026-09-21T00:00:00+02:00,starosta,16,6512629,zakup_paliwa,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0040,2026-09-22T21:00:00+02:00,starosta,02,7298926,zakup_wody_i_zywnosci,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0041,2026-09-19T15:00:00+02:00,wojewoda,02,8364175,zakup_paliwa,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0042,2026-09-23T18:00:00+02:00,wojewoda,30,1394550,zakup_wody_i_zywnosci,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0043,2026-09-18T15:00:00+02:00,wojewoda,02,6920407,zakup_paliwa,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0044,2026-09-18T14:00:00+02:00,wojewoda,24,702370,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0045,2026-09-23T20:00:00+02:00,wojewoda,02,4052376,odtworzenie_sil_i_srodkow,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0046,2026-09-23T02:00:00+02:00,minister_wiodacy,16,3388346,transport_rezerw,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0047,2026-09-15T15:00:00+02:00,wojewoda,02,5684794,transport_rezerw,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0048,2026-09-20T05:00:00+02:00,starosta,30,1081843,zakwaterowanie_ewakuowanych,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0049,2026-09-24T03:00:00+02:00,minister_wiodacy,30,3265213,odtworzenie_sil_i_srodkow,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0050,2026-09-20T05:00:00+02:00,minister_wiodacy,16,6284737,zakup_paliwa,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0051,2026-09-15T09:00:00+02:00,minister_wiodacy,02,2617931,zakup_paliwa,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0052,2026-09-21T01:00:00+02:00,minister_wiodacy,30,163256,zakwaterowanie_ewakuowanych,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0053,2026-09-16T00:00:00+02:00,minister_wiodacy,24,191858,zakup_paliwa,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0054,2026-09-17T08:00:00+02:00,minister_wiodacy,02,881748,zakup_wody_i_zywnosci,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0055,2026-09-15T20:00:00+02:00,minister_wiodacy,24,7546118,zakwaterowanie_ewakuowanych,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0056,2026-09-24T03:00:00+02:00,wojewoda,08,5051020,zakwaterowanie_ewakuowanych,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0057,2026-09-21T02:00:00+02:00,starosta,24,873285,zakwaterowanie_ewakuowanych,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0058,2026-09-19T03:00:00+02:00,starosta,30,334727,zakup_paliwa,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0059,2026-09-19T18:00:00+02:00,starosta,24,7601615,zakup_paliwa,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0060,2026-09-20T05:00:00+02:00,starosta,30,5337220,transport_rezerw,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0061,2026-09-16T09:00:00+02:00,minister_wiodacy,24,3567583,zakup_paliwa,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0062,2026-09-19T13:00:00+02:00,starosta,02,3456426,zakup_paliwa,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0063,2026-09-19T22:00:00+02:00,starosta,08,5202498,odtworzenie_sil_i_srodkow,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0064,2026-09-21T11:00:00+02:00,starosta,24,498603,zakwaterowanie_ewakuowanych,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0065,2026-09-17T20:00:00+02:00,starosta,30,3715009,zakup_wody_i_zywnosci,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0066,2026-09-23T20:00:00+02:00,wojewoda,16,2926786,zakup_wody_i_zywnosci,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0067,2026-09-19T11:00:00+02:00,wojewoda,24,7660083,zakup_wody_i_zywnosci,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0068,2026-09-17T13:00:00+02:00,starosta,02,7700544,odtworzenie_sil_i_srodkow,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0069,2026-09-21T01:00:00+02:00,wojewoda,02,447872,zakup_wody_i_zywnosci,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0070,2026-09-19T17:00:00+02:00,minister_wiodacy,08,5464531,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0071,2026-09-17T03:00:00+02:00,starosta,16,1679388,zakwaterowanie_ewakuowanych,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0072,2026-09-23T21:00:00+02:00,minister_wiodacy,24,645937,zakup_wody_i_zywnosci,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0073,2026-09-21T09:00:00+02:00,starosta,02,3090605,zakup_wody_i_zywnosci,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0074,2026-09-23T02:00:00+02:00,minister_wiodacy,24,1489501,odtworzenie_sil_i_srodkow,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0075,2026-09-23T12:00:00+02:00,minister_wiodacy,30,4843287,zakup_wody_i_zywnosci,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0076,2026-09-19T08:00:00+02:00,minister_wiodacy,24,5000930,odtworzenie_sil_i_srodkow,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0077,2026-09-24T18:00:00+02:00,minister_wiodacy,08,2037254,transport_rezerw,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0078,2026-09-15T22:00:00+02:00,starosta,16,8428255,zakup_paliwa,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0079,2026-09-17T17:00:00+02:00,starosta,02,1407477,zakup_wody_i_zywnosci,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0080,2026-09-17T08:00:00+02:00,wojewoda,16,8142515,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0081,2026-09-17T04:00:00+02:00,wojewoda,02,2296979,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0082,2026-09-23T01:00:00+02:00,wojewoda,08,5320307,zakwaterowanie_ewakuowanych,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0083,2026-09-16T04:00:00+02:00,minister_wiodacy,08,5122601,transport_rezerw,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0084,2026-09-17T12:00:00+02:00,minister_wiodacy,16,8439525,odtworzenie_sil_i_srodkow,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0085,2026-09-17T07:00:00+02:00,wojewoda,02,4411708,odtworzenie_sil_i_srodkow,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0086,2026-09-23T03:00:00+02:00,starosta,08,1461766,zakwaterowanie_ewakuowanych,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0087,2026-09-23T22:00:00+02:00,starosta,24,2288577,zakup_wody_i_zywnosci,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0088,2026-09-16T11:00:00+02:00,minister_wiodacy,30,389904,transport_rezerw,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0089,2026-09-16T09:00:00+02:00,wojewoda,30,7800256,zakup_paliwa,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0090,2026-09-15T08:00:00+02:00,starosta,08,8294205,zakup_wody_i_zywnosci,draft,wojewoda>minister_wiodacy>RZZK>MF
