warehouse_id,warehouse_name,owner_type,voivodeship_code,lat,lon,area_m2,has_ramp,available_24_7
WH024,magazyn_WOT_opolskie_24,magazyn_WOT,16,50.60613,17.65668,5655,1,1
WH025,ARS_podkarpackie_25,ARS,18,49.99821,22.19222,10850,1,1
WH026,magazyn_wojewodzki_OC_podlaskie_26,magazyn_wojewodzki_OC,20,52.72503,23.33241,5080,1,1
WH027,skladnica_PSP_pomorskie_27,skladnica_PSP,22,54.14856,19.12291,5450,1,1
WH028,magazyn_WOT_slaskie_28,magazyn_WOT,24,49.98543,18.2548,5894,1,1
WH029,ARS_swietokrzyskie_29,ARS,26,51.1986,20.32845,1992,1,0
WH030,magazyn_wojewodzki_OC_warminsko-mazurskie_30,magazyn_wojewodzki_OC,28,53.46819,20.45168,7185,1,1
WH031,skladnica_PSP_wielkopolskie_31,skladnica_PSP,30,52.72741,16.93271,8661,1,1
WH032,magazyn_WOT_zachodniopomorskie_32,magazyn_WOT,32,53.64373,14.00741,1795,1,1
WH033,ARS_dolnoslaskie_33,ARS,02,50.94899,16.80478,1146,1,0
WH034,magazyn_wojewodzki_OC_kujawsko-pomorskie_34,magazyn_wojewodzki_OC,04,53.07681,18.37724,11679,1,1
WH035,skladnica_PSP_lubelskie_35,skladnica_PSP,06,51.37466,22.42992,8642,1,1
WH036,magazyn_WOT_lubuskie_36,magazyn_WOT,08,52.96088,15.30794,2703,1,1
WH037,ARS_lodzkie_37,ARS,10,52.11283,19.68243,2394,1,0
WH038,magazyn_wojewodzki_OC_malopolskie_38,magazyn_wojewodzki_OC,12,49.39534,19.73912,6080,1,1
WH039,skladnica_PSP_mazowieckie_39,skladnica_PSP,14,51.38541,20.87271,4920,1,1
WH040,magazyn_WOT_opolskie_40,magazyn_WOT,16,50.93946,17.84641,3819,1,1
WH041,ARS_podkarpackie_41,ARS,18,49.68676,21.35325,3772,1,1
WH042,magazyn_wojewodzki_OC_podlaskie_42,magazyn_wojewodzki_OC,20,53.05424,23.23696,8579,1,1
WH043,skladnica_PSP_pomorskie_43,skladnica_PSP,22,53.74178,18.45582,10145,0,1
WH044,magazyn_WOT_slaskie_44,magazyn_WOT,24,50.32454,18.76574,5201,1,1
WH045,ARS_swietokrzyskie_45,ARS,26,50.65353,20.96952,3570,1,0
WH046,magazyn_wojewodzki_OC_warminsko-mazurskie_46,magazyn_wojewodzki_OC,28,53.82432,20.82616,11154,1,1
WH047,skladnica_PSP_wielkopolskie_47,skladnica_PSP,30,52.53163,16.40397,7993,1,1
WH048,magazyn_WOT_zachodniopomorskie_48,magazyn_WOT,32,53.55073,14.71643,8958,1,1
WH049,ARS_dolnoslaskie_49,ARS,02,51.22785,17.23812,5571,1,1
WH050,magazyn_wojewodzki_OC_kujawsko-pomorskie_50,magazyn_wojewodzki_OC,04,52.93711,17.48565,7154,0,1
WH051,skladnica_PSP_lubelskie_51,skladnica_PSP,06,52.12268,22.68377,10471,0,1
WH052,magazyn_WOT_lubuskie_52,magazyn_WOT,08,52.46706,15.10145,9569,1,1
WH053,ARS_lodzkie_53,ARS,10,52.2159,19.5646,8135,1,1
WH054,magazyn_wojewodzki_OC_malopolskie_54,magazyn_wojewodzki_OC,12,50.1919,20.03649,1202,1,1
WH055,skladnica_PSP_mazowieckie_55,skladnica_PSP,14,52.44087,21.06695,5733,1,1
WH056,magazyn_WOT_opolskie_56,magazyn_WOT,16,50.53619,18.05696,857,1,1
WH057,ARS_podkarpackie_57,ARS,18,49.94092,21.82772,4023,1,1
WH058,magazyn_wojewodzki_OC_podlaskie_58,magazyn_wojewodzki_OC,20,53.20454,23.60308,6733,1,1
WH059,skladnica_PSP_pomorskie_59,skladnica_PSP,22,54.19372,18.80858,1113,1,1
WH060,magazyn_WOT_slaskie_60,magazyn_WOT,24,50.23137,19.01215,10176,1,1
