transport_unit_id,transport_type,payload_t,avg_speed_kmh,base_warehouse_id,available_from,available
TU0061,bus,2,70,WH040,2026-09-16T12:00:00+02:00,1
TU0062,naczepa_niskopodwoziowa,40,45,WH041,2026-09-15T16:00:00+02:00,1
TU0063,naczepa_niskopodwoziowa,40,45,WH049,2026-09-16T04:00:00+02:00,1
TU0064,ciezarowka_12t,12,58,WH014,2026-09-16T06:00:00+02:00,1
TU0065,bus,2,70,WH036,2026-09-16T09:00:00+02:00,1
TU0066,ciezarowka_24t,24,52,WH060,2026-09-16T07:00:00+02:00,1
TU0067,bus,2,70,WH029,2026-09-15T12:00:00+02:00,1
TU0068,amfibia,8,25,WH032,2026-09-16T02:00:00+02:00,1
TU0069,ciezarowka_12t,12,58,WH002,2026-09-16T13:00:00+02:00,1
TU0070,amfibia,8,25,WH039,2026-09-16T09:00:00+02:00,1
TU0071,ciezarowka_24t,24,52,WH046,2026-09-15T13:00:00+02:00,1
TU0072,ciezarowka_24t,24,52,WH020,2026-09-16T12:00:00+02:00,1
TU0073,smiglowiec,3,160,WH001,2026-09-15T11:00:00+02:00,1
TU0074,smiglowiec,3,160,WH027,2026-09-15T12:00:00+02:00,1
TU0075,ciezarowka_12t,12,58,WH015,2026-09-16T15:00:00+02:00,0
TU0076,ciezarowka_12t,12,58,WH030,2026-09-16T15:00:00+02:00,1
TU0077,ciezarowka_12t,12,58,WH042,2026-09-16T18:00:00+02:00,1
TU0078,ciezarowka_24t,24,52,WH032,2026-09-16T00:00:00+02:00,1
TU0079,amfibia,8,25,WH019,2026-09-16T19:00:00+02:00,1
TU0080,smiglowiec,3,160,WH046,2026-09-16T17:00:00+02:00,1
TU0081,bus,2,70,WH027,2026-09-16T13:00:00+02:00,1
TU0082,naczepa_niskopodwoziowa,40,45,WH031,2026-09-16T11:00:00+02:00,1
TU0083,ciezarowka_24t,24,52,WH030,2026-09-15T19:00:00+02:00,1
TU0084,smiglowiec,3,160,WH010,2026-09-15T18:00:00+02:00,1
TU0085,naczepa_niskopodwoziowa,40,45,WH013,2026-09-15T20:00:00+02:00,1
TU0086,smiglowiec,3,160,WH033,2026-09-16T13:00:00+02:00,1
TU0087,amfibia,8,25,WH057,2026-09-15T19:00:00+02:00,0
TU0088,ciezarowka_24t,24,52,WH056,2026-09-15T08:00:00+02:00,1
TU0089,ciezarowka_12t,12,58,WH018,2026-09-15T23:00:00+02:00,1
TU0090,naczepa_niskopodwoziowa,40,45,WH022,2026-09-15T18:00:00+02:00,1
TU0091,smiglowiec,3,160,WH018,2026-09-16T00:00:00+02:00,0
TU0092,ciezarowka_12t,12,58,WH019,2026-09-16T02:00:00+02:00,0
TU0093,amfibia,8,25,WH020,2026-09-15T16:00:00+02:00,1
TU0094,smiglowiec,3,160,WH038,2026-09-15T21:00:00+02:00,1
TU0095,amfibia,8,25,WH032,2026-09-15T13:00:00+02:00,0
TU0096,ciezarowka_24t,24,52,WH029,2026-09-15T12:00:00+02:00,1
TU0097,smiglowiec,3,160,WH031,2026-09-16T18:00:00+02:00,1
TU0098,bus,2,70,WH022,2026-09-16T16:00:00+02:00,0
TU0099,smiglowiec,3,160,WH049,2026-09-16T15:00:00+02:00,1
TU0100,smiglowiec,3,160,WH025,2026-09-16T06:00:00+02:00,1
TU0101,naczepa_niskopodwoziowa,40,45,WH060,2026-09-16T14:00:00+02:00,1
TU0102,bus,2,70,WH056,2026-09-15T19:00:00+02:00,1
TU0103,ciezarowka_24t,24,52,WH045,2026-09-16T10:00:00+02:00,1
TU0104,ciezarowka_24t,24,52,WH037,2026-09-16T18:00:00+02:00,0
TU0105,naczepa_niskopodwoziowa,40,45,WH015,2026-09-15T09:00:00+02:00,1
TU0106,naczepa_niskopodwoziowa,40,45,WH003,2026-09-16T08:00:00+02:00,1
TU0107,bus,2,70,WH048,2026-09-15T19:00:00+02:00,1
TU0108,naczepa_niskopodwoziowa,40,45,WH046,2026-09-15T15:00:00+02:00,0
TU0109,naczepa_niskopodwoziowa,40,45,WH025,2026-09-16T17:00:00+02:00,0
TU0110,amfibia,8,25,WH051,2026-09-15T22:00:00+02:00,1
TU0111,amfibia,8,25,WH010,2026-09-15T23:00:00+02:00,1
TU0112,naczepa_niskopodwoziowa,40,45,WH003,2026-09-16T12:00:00+02:00,0
TU0113,ciezarowka_24t,24,52,WH033,2026-09-16T16:00:00+02:00,1
TU0114,smiglowiec,3,160,WH022,2026-09-15T23:00:00+02:00,1
TU0115,ciezarowka_12t,12,58,WH056,2026-09-15T20:00:00+02:00,1
TU0116,naczepa_niskopodwoziowa,40,45,WH007,2026-09-15T10:00:00+02:00,1
TU0117,smiglowiec,3,160,WH059,2026-09-16T12:00:00+02:00,1
TU0118,naczepa_niskopodwoziowa,40,45,WH001,2026-09-15T12:00:00+02:00,1
TU0119,amfibia,8,25,WH010,2026-09-15T13:00:00+02:00,1
TU0120,naczepa_niskopodwoziowa,40,45,WH056,2026-09-16T02:00:00+02:00,0
TU0121,amfibia,8,25,WH010,2026-09-16T03:00:00+02:00,1
TU0122,ciezarowka_12t,12,58,WH031,2026-09-16T14:00:00+02:00,1
TU0123,bus,2,70,WH022,2026-09-16T16:00:00+02:00,1
TU0124,smiglowiec,3,160,WH045,2026-09-15T13:00:00+02:00,1
TU0125,naczepa_niskopodwoziowa,40,45,WH042,2026-09-15T13:00:00+02:00,1
TU0126,ciezarowka_12t,12,58,WH055,2026-09-16T13:00:00+02:00,1
TU0127,bus,2,70,WH055,2026-09-16T15:00:00+02:00,1
TU0128,amfibia,8,25,WH055,2026-09-16T10:00:00+02:00,0
TU0129,smiglowiec,3,160,WH025,2026-09-16T08:00:00+02:00,1
TU0130,bus,2,70,WH041,2026-09-16T01:00:00+02:00,1
TU0131,amfibia,8,25,WH057,2026-09-15T17:00:00+02:00,1
TU0132,naczepa_niskopodwoziowa,40,45,WH056,2026-09-15T19:00:00+02:00,1
TU0133,smiglowiec,3,160,WH003,2026-09-16T05:00:00+02:00,0
TU0134,smiglowiec,3,160,WH005,2026-09-15T21:00:00+02:00,0
TU0135,ciezarowka_24t,24,52,WH041,2026-09-15T09:00:00+02:00,1
TU0136,amfibia,8,25,WH059,2026-09-16T19:00:00+02:00,1
TU0137,bus,2,70,WH015,2026-09-15T20:00:00+02:00,1
TU0138,amfibia,8,25,WH006,2026-09-15T12:00:00+02:00,0
TU0139,naczepa_niskopodwoziowa,40,45,WH007,2026-09-16T18:00:00+02:00,1
TU0140,amfibia,8,25,WH046,2026-09-15T14:00:00+02:00,0
TU0141,ciezarowka_12t,12,58,WH029,2026-09-16T00:00:00+02:00,1
TU0142,ciezarowka_24t,24,52,WH045,2026-09-15T22:00:00+02:00,1
TU0143,bus,2,70,WH058,2026-09-15T11:00:00+02:00,1
TU0144,ciezarowka_12t,12,58,WH003,2026-09-15T09:00:00+02:00,1
TU0145,bus,2,70,WH051,2026-09-16T13:00:00+02:00,1
TU0146,ciezarowka_12t,12,58,WH019,2026-09-15T16:00:00+02:00,1
TU0147,bus,2,70,WH024,2026-09-15T23:00:00+02:00,1
TU0148,naczepa_niskopodwoziowa,40,45,WH010,2026-09-15T11:00:00+02:00,1
TU0149,ciezarowka_24t,24,52,WH034,2026-09-16T04:00:00+02:00,1
TU0150,naczepa_niskopodwoziowa,40,45,WH037,2026-09-16T19:00:00+02:00,1
TU0151,amfibia,8,25,WH051,2026-09-15T17:00:00+02:00,0
TU0152,ciezarowka_24t,24,52,WH011,2026-09-16T01:00:00+02:00,0
TU0153,ciezarowka_24t,24,52,WH006,2026-09-15T23:00:00+02:00,1
TU0154,smiglowiec,3,160,WH056,2026-09-15T14:00:00+02:00,1
TU0155,naczepa_niskopodwoziowa,40,45,WH040,2026-09-16T09:00:00+02:00,1
TU0156,amfibia,8,25,WH016,2026-09-16T02:00:00+02:00,0
TU0157,naczepa_niskopodwoziowa,40,45,WH059,2026-09-15T08:00:00+02:00,1
TU0158,smiglowiec,3,160,WH010,2026-09-15T23:00:00+02:00,1
TU0159,ciezarowka_24t,24,52,WH030,2026-09-16T12:00:00+02:00,1
TU0160,amfibia,8,25,WH017,2026-09-16T13:00:00+02:00,1
TU0161,naczepa_niskopodwoziowa,40,45,WH017,2026-09-16T09:00:00+02:00,1
TU0162,amfibia,8,25,WH001,2026-09-16T14:00:00+02:00,0
TU0163,naczepa_niskopodwoziowa,40,45,WH058,2026-09-16T10:00:00+02:00,0
TU0164,bus,2,70,WH044,2026-09-15T11:00:00+02:00,1
TU0165,smiglowiec,3,160,WH011,2026-09-15T21:00:00+02:00,1
TU0166,ciezarowka_12t,12,58,WH029,2026-09-15T23:00:00+02:00,1
TU0167,bus,2,70,WH038,2026-09-15T20:00:00+02:00,1
TU0168,bus,2,70,WH041,2026-09-16T08:00:00+02:00,1
TU0169,naczepa_niskopodwoziowa,40,45,WH045,2026-09-15T16:00:00+02:00,1
TU0170,bus,2,70,WH030,2026-09-16T02:00:00+02:00,1
TU0171,bus,2,70,WH013,2026-09-15T20:00:00+02:00,1
TU0172,naczepa_niskopodwoziowa,40,45,WH055,2026-09-15T20:00:00+02:00,1
TU0173,naczepa_niskopodwoziowa,40,45,WH007,2026-09-15T08:00:00+02:00,1
TU0174,ciezarowka_24t,24,52,WH025,2026-09-15T15:00:00+02:00,1
TU0175,smiglowiec,3,160,WH023,2026-09-15T19:00:00+02:00,0
TU0176,smiglowiec,3,160,WH019,2026-09-16T14:00:00+02:00,0
TU0177,amfibia,8,25,WH019,2026-09-15T22:00:00+02:00,1
TU0178,ciezarowka_12t,12,58,WH054,2026-09-15T09:00:00+02:00,1
TU0179,amfibia,8,25,WH026,2026-09-16T12:00:00+02:00,1
TU0180,bus,2,70,WH001,2026-09-16T16:00:00+02:00,1
