warehouse_id,resource_type_id,available_qty,reserved_qty,in_transit_qty,expiry_date
WH006,R11,22,1,0,
WH006,R12,93,3,6,
WH006,R13,51,7,3,
WH006,R14,143,21,4,
WH006,R15,132,11,9,
WH006,R16,811,117,13,
WH006,R17,183,10,12,2026-12-12
WH006,R18,36,4,1,
WH006,R19,51,6,3,
WH006,R20,65,9,2,
WH007,R01,125,20,5,
WH007,R02,82,8,4,
WH007,R03,124,4,8,
WH007,R04,49,5,0,
WH007,R05,2359,421,119,2026-11-05
WH007,R06,1946,341,138,2026-11-20
WH007,R07,149,11,8,
WH007,R08,100,15,6,
WH007,R09,3103,389,79,
WH007,R10,159,24,3,
WH007,R11,92,5,5,
WH007,R12,64,9,0,
WH007,R13,83,6,1,
WH007,R14,152,21,5,
WH007,R15,125,12,1,
WH007,R16,1518,271,94,
WH007,R17,80,9,1,2027-02-05
WH007,R18,155,8,1,
WH007,R19,14,0,0,
WH007,R20,154,22,11,
WH008,R01,104,12,4,
WH008,R02,18,0,0,
WH008,R03,240,25,15,
WH008,R04,171,26,9,
WH008,R05,5184,799,362,2027-07-12
WH008,R06,4066,723,284,2027-08-09
WH008,R07,169,6,3,
WH008,R08,42,1,1,
WH008,R09,1987,321,134,
WH008,R10,197,28,6,
WH008,R11,100,13,1,
WH008,R12,59,6,4,
WH008,R13,243,30,13,
WH008,R14,180,27,6,
WH008,R15,153,8,7,
WH008,R16,3808,404,233,
WH008,R17,105,3,4,2026-10-16
WH008,R18,69,4,0,
WH008,R19,281,50,22,
WH008,R20,67,9,3,
WH009,R01,63,10,2,
WH009,R02,138,4,7,
WH009,R03,168,11,6,
WH009,R04,172,14,5,
WH009,R05,333,28,25,2028-01-29
WH009,R06,2800,427,173,2026-10-29
WH009,R07,172,17,11,
WH009,R08,95,8,1,
WH009,R09,238,16,12,
WH009,R10,100,12,3,
WH009,R11,39,6,1,
WH009,R12,120,19,1,
WH009,R13,163,21,2,
WH009,R14,161,20,3,
WH009,R15,145,9,4,
WH009,R16,2637,394,7,
WH009,R17,83,7,3,2027-03-18
WH009,R18,130,10,9,
WH009,R19,34,3,2,
WH009,R20,43,4,2,
WH010,R01,161,11,3,
WH010,R02,294,47,17,
WH010,R03,311,15,0,
WH010,R04,265,45,17,
WH010,R05,2009,352,23,2027-07-08
WH010,R06,2556,146,62,2027-03-02
WH010,R07,297,47,2,
WH010,R08,256,30,1,
WH010,R09,1468,172,34,
WH010,R10,180,13,3,
WH010,R11,205,18,9,
WH010,R12,295,22,16,
WH010,R13,214,8,12,
WH010,R14,47,6,0,
WH010,R15,226,39,1,
WH010,R16,1356,128,30,
WH010,R17,72,9,3,2027-03-23
WH010,R18,173,21,5,
WH010,R19,30,1,0,
WH010,R20,243,32,6,
WH011,R01,47,3,2,
WH011,R02,45,2,2,
WH011,R03,103,12,2,
WH011,R04,275,41,4,
WH011,R05,5940,807,26,2027-11-09
WH011,R06,4811,470,161,2027-06-30
WH011,R07,64,8,4,
WH011,R08,220,15,11,
WH011,R09,1265,165,49,
WH011,R10,196,28,4,
WH011,R11,149,9,6,
WH011,R12,255,8,1,
WH011,R13,108,14,8,
WH011,R14,199,10,13,
WH011,R15,170,11,13,
WH011,R16,1940,125,76,
WH011,R17,85,12,0,2027-04-04
WH011,R18,98,14,6,
WH011,R19,302,49,5,
WH011,R20,44,6,1,
WH012,R01,162,6,3,
WH012,R02,22,3,0,
WH012,R03,84,11,6,
WH012,R04,116,16,0,
WH012,R05,2808,152,70,2026-12-07
WH012,R06,3345,339,65,2027-02-04
WH012,R07,34,4,0,
WH012,R08,238,40,13,
WH012,R09,3903,501,203,
WH012,R10,183,31,14,
WH012,R11,246,30,15,
WH012,R12,136,4,5,
WH012,R13,255,35,7,
WH012,R14,199,14,2,
WH012,R15,123,20,8,
WH012,R16,4335,297,273,
WH012,R17,117,16,4,2028-01-03
WH012,R18,125,6,7,
WH012,R19,192,16,14,
WH012,R20,189,24,14,
WH013,R01,341,33,25,
WH013,R02,176,30,13,
WH013,R03,221,21,3,
WH013,R04,290,25,21,
WH013,R05,3705,531,273,2028-01-01
WH013,R06,3400,385,133,2028-02-10
WH013,R07,139,8,2,
WH013,R08,345,60,19,
WH013,R09,5358,266,219,
WH013,R10,206,24,6,
WH013,R11,331,37,23,
WH013,R12,275,24,13,
WH013,R13,321,23,11,
WH013,R14,330,36,15,
WH013,R15,92,7,2,
WH013,R16,1452,73,82,
WH013,R17,315,15,25,2027-02-05
WH013,R18,120,19,5,
WH013,R19,105,14,4,
WH013,R20,195,30,12,
WH014,R01,79,6,4,
WH014,R02,20,3,1,
WH014,R03,199,7,13,
WH014,R04,93,13,0,
WH014,R05,5763,732,156,2027-11-30
WH014,R06,864,99,58,2027-11-11
WH014,R07,241,17,18,
WH014,R08,97,10,3,
WH014,R09,2496,331,86,
WH014,R10,64,10,4,
WH014,R11,284,18,16,
WH014,R12,273,9,18,
WH014,R13,136,23,4,
WH014,R14,182,12,14,
WH014,R15,302,48,22,
WH014,R16,3120,306,138,
WH014,R17,191,30,14,2027-03-15
WH014,R18,128,18,2,
WH014,R19,320,48,22,
WH014,R20,221,21,6,
WH015,R01,264,13,7,
WH015,R02,108,17,3,
WH015,R03,160,22,2,
WH015,R04,130,8,9,
WH015,R05,1682,155,77,2026-12-14
WH015,R06,1995,126,55,2027-03-07
WH015,R07,134,12,4,
WH015,R08,331,29,25,
WH015,R09,1606,258,42,
WH015,R10,235,18,1,
WH015,R11,351,37,6,
WH015,R12,256,32,14,
WH015,R13,281,16,15,
WH015,R14,58,10,3,
WH015,R15,128,15,8,
WH015,R16,3486,393,66,
WH015,R17,348,29,1,2027-09-25
WH015,R18,340,12,18,
WH015,R19,303,16,10,
WH015,R20,271,11,14,
WH016,R01,303,36,21,
WH016,R02,91,13,3,
WH016,R03,77,7,2,
WH016,R04,51,5,0,
WH016,R05,3528,450,140,2027-05-19
WH016,R06,1749,147,61,2028-02-19
WH016,R07,240,39,10,
WH016,R08,125,5,9,
WH016,R09,4374,363,77,
WH016,R10,124,5,7,
WH016,R11,330,23,4,
WH016,R12,99,17,6,
WH016,R13,95,15,6,
WH016,R14,326,33,4,
WH016,R15,274,20,15,
WH016,R16,1143,58,62,
WH016,R17,28,1,0,2027-02-10
WH016,R18,56,7,0,
WH016,R19,133,8,7,
WH016,R20,68,4,0,
WH017,R01,163,26,2,
WH017,R02,174,12,2,
WH017,R03,44,2,3,
WH017,R04,141,21,6,
WH017,R05,1289,209,75,2027-05-17
WH017,R06,3388,461,218,2026-11-20
WH017,R07,172,20,6,
WH017,R08,184,17,10,
WH017,R09,1370,164,24,
WH017,R10,163,20,11,
WH017,R11,13,0,0,
WH017,R12,51,5,0,
WH017,R13,181,15,5,
WH017,R14,116,14,5,
WH017,R15,31,3,1,
WH017,R16,167,9,2,
WH017,R17,55,7,0,2026-12-03
WH017,R18,165,9,1,
WH017,R19,132,7,5,
WH017,R20,188,28,1,
WH018,R01,233,28,14,
WH018,R02,260,10,3,
WH018,R03,123,5,8,
WH018,R04,335,36,20,
WH018,R05,2736,348,16,2027-04-22
WH018,R06,4914,218,97,2026-12-07
WH018,R07,116,15,6,
WH018,R08,169,6,13,
WH018,R09,5320,818,315,
WH018,R10,37,4,1,
WH018,R11,32,4,0,
WH018,R12,269,40,1,
WH018,R13,211,26,13,
WH018,R14,185,18,3,
WH018,R15,301,20,12,
WH018,R16,3620,532,69,
WH018,R17,172,10,6,2027-11-26
WH018,R18,36,2,1,
WH018,R19,22,1,0,
WH018,R20,180,29,7,
WH019,R01,39,1,0,
WH019,R02,114,13,6,
WH019,R03,94,5,2,
WH019,R04,36,2,2,
WH019,R05,432,17,12,2027-11-17
WH019,R06,1216,110,29,2026-12-18
WH019,R07,269,32,10,
WH019,R08,50,2,3,
WH019,R09,3808,663,283,
WH019,R10,321,20,21,
WH019,R11,163,13,2,
WH019,R12,238,24,16,
WH019,R13,202,28,14,
WH019,R14,343,43,13,
WH019,R15,262,46,20,
WH019,R16,7436,1087,343,
WH019,R17,180,29,0,2027-02-24
WH019,R18,80,7,3,
WH019,R19,95,10,1,
WH019,R20,310,19,8,
WH020,R01,48,1,2,
WH020,R02,259,21,6,
WH020,R03,90,9,6,
WH020,R04,212,17,11,
WH020,R05,1117,172,85,2026-11-06
WH020,R06,6123,1062,202,2028-02-19
WH020,R07,140,6,0,
WH020,R08,53,5,2,
WH020,R09,2610,318,37,
WH020,R10,81,6,1,
WH020,R11,98,10,5,
WH020,R12,224,8,7,
WH020,R13,109,4,3,
WH020,R14,305,10,3,
WH020,R15,29,1,1,
WH020,R16,2786,167,23,
WH020,R17,291,44,10,2027-08-28
WH020,R18,279,21,14,
WH020,R19,219,12,14,
WH020,R20,291,36,18,
WH021,R01,92,8,0,
WH021,R02,76,13,0,
WH021,R03,289,47,6,
WH021,R04,41,4,0,
WH021,R05,2794,164,102,2027-04-13
WH021,R06,2940,199,32,2027-04-03
WH021,R07,250,13,5,
WH021,R08,253,20,9,
WH021,R09,6233,587,434,
WH021,R10,192,29,11,
WH021,R11,244,12,19,
WH021,R12,336,38,4,
WH021,R13,279,15,13,
WH021,R14,327,42,9,
WH021,R15,157,16,2,
WH021,R16,374,15,24,
WH021,R17,80,13,4,2027-07-25
WH021,R18,231,24,15,
WH021,R19,273,46,15,
WH021,R20,326,41,3,
WH022,R01,54,2,2,
WH022,R02,116,6,0,
WH022,R03,295,48,3,
WH022,R04,77,10,5,
WH022,R05,403,44,10,2027-07-04
WH022,R06,2093,299,142,2027-04-01
WH022,R07,126,8,2,
WH022,R08,262,18,0,
WH022,R09,612,41,33,
WH022,R10,280,31,18,
WH022,R11,228,19,1,
WH022,R12,336,47,0,
WH022,R13,292,11,20,
WH022,R14,93,2,3,
WH022,R15,244,31,5,
WH022,R16,3657,512,126,
WH022,R17,308,25,20,2027-03-22
WH022,R18,269,24,7,
WH022,R19,286,12,1,
WH022,R20,32,1,0,
WH023,R01,340,50,22,
WH023,R02,302,37,15,
WH023,R03,145,19,3,
WH023,R04,60,6,4,
WH023,R05,9369,608,552,2028-01-12
WH023,R06,1242,42,16,2026-10-28
WH023,R07,152,12,0,
WH023,R08,249,44,10,
WH023,R09,2656,286,110,
WH023,R10,349,42,24,
WH023,R11,175,13,6,
WH023,R12,182,28,4,
WH023,R13,21,1,1,
WH023,R14,324,15,6,
WH023,R15,212,17,16,
WH023,R16,3655,235,166,
WH023,R17,51,1,3,2027-05-09
WH023,R18,230,37,14,
WH023,R19,25,1,1,
WH023,R20,320,38,14,
WH024,R01,137,5,0,
WH024,R02,141,6,2,
WH024,R03,130,13,1,
WH024,R04,117,17,7,
WH024,R05,3080,290,208,2026-11-09
WH024,R06,1732,232,81,2027-09-09
WH024,R07,67,4,3,
WH024,R08,73,11,3,
WH024,R09,864,117,29,
WH024,R10,28,1,2,
WH024,R11,55,6,3,
WH024,R12,128,14,4,
WH024,R13,81,4,2,
WH024,R14,41,4,2,
WH024,R15,36,4,2,
WH024,R16,990,77,71,
WH024,R17,173,26,0,2027-09-28
WH024,R18,65,4,3,
WH024,R19,101,10,6,
WH024,R20,101,8,3,
WH025,R01,328,57,20,
WH025,R02,305,19,2,
WH025,R03,286,26,5,
WH025,R04,89,14,4,
WH025,R05,3859,274,117,2027-04-07
WH025,R06,4248,184,288,2027-10-14
WH025,R07,343,23,27,
WH025,R08,62,3,0,
WH025,R09,2860,254,21,
WH025,R10,141,5,5,
WH025,R11,21,1,1,
WH025,R12,46,2,1,
WH025,R13,302,15,6,
WH025,R14,215,31,5,
WH025,R15,98,10,5,
WH025,R16,728,54,12,
WH025,R17,330,25,17,2028-02-26
WH025,R18,217,23,3,
WH025,R19,243,12,9,
WH025,R20,262,38,14,
WH026,R01,188,31,14,
WH026,R02,144,5,4,
WH026,R03,260,31,12,
WH026,R04,87,10,2,
WH026,R05,1185,183,39,2027-04-05
WH026,R06,5073,580,228,2027-11-13
WH026,R07,90,10,2,
WH026,R08,187,9,14,
WH026,R09,6372,589,153,
WH026,R10,274,24,15,
WH026,R11,270,36,19,
WH026,R12,236,23,12,
WH026,R13,177,22,6,
WH026,R14,165,24,0,
WH026,R15,186,13,14,
WH026,R16,1183,100,38,
WH026,R17,187,18,12,2027-12-29
WH026,R18,337,52,22,
WH026,R19,337,23,16,
WH026,R20,85,10,1,
WH027,R01,34,2,0,
WH027,R02,266,20,18,
WH027,R03,346,37,22,
WH027,R04,261,39,8,
WH027,R05,5725,348,230,2026-11-05
WH027,R06,1416,153,9,2027-05-20
WH027,R07,135,17,6,
WH027,R08,172,6,1,
WH027,R09,3375,527,234,
WH027,R10,289,39,13,
WH027,R11,122,21,0,
WH027,R12,29,3,0,
WH027,R13,200,7,0,
WH027,R14,240,32,13,
WH027,R15,169,9,11,
WH027,R16,4640,810,43,
WH027,R17,94,15,6,2027-12-15
WH027,R18,56,4,3,
WH027,R19,286,33,9,
WH027,R20,292,21,9,
WH028,R01,294,48,6,
WH028,R02,61,4,3,
WH028,R03,59,9,0,
WH028,R04,220,25,11,
WH028,R05,4590,798,127,2027-09-22
WH028,R06,1320,154,45,2028-01-28
WH028,R07,149,6,1,
WH028,R08,62,2,2,
WH028,R09,2230,70,39,
WH028,R10,228,19,9,
WH028,R11,141,17,2,
WH028,R12,112,3,0,
WH028,R13,212,17,16,
WH028,R14,113,4,4,
WH028,R15,284,38,14,
WH028,R16,2677,334,69,
WH028,R17,18,2,0,2027-06-02
WH028,R18,217,26,11,
WH028,R19,254,33,14,
WH028,R20,66,6,1,
WH029,R01,245,18,14,
WH029,R02,74,6,4,
WH029,R03,324,42,17,
WH029,R04,264,32,10,
WH029,R05,3048,476,235,2027-12-26
WH029,R06,4671,839,181,2028-02-02
WH029,R07,329,41,6,
WH029,R08,259,9,9,
WH029,R09,1025,80,64,
WH029,R10,150,20,3,
WH029,R11,236,23,3,
WH029,R12,327,14,3,
WH029,R13,101,6,4,
WH029,R14,49,3,3,
WH029,R15,165,17,12,
WH029,R16,1029,33,75,
WH029,R17,108,13,4,2027-12-26
WH029,R18,154,15,9,
WH029,R19,169,18,2,
WH029,R20,141,6,2,
WH030,R01,39,3,2,
WH030,R02,82,6,1,
WH030,R03,98,10,4,
WH030,R04,283,48,22,
WH030,R05,1560,235,45,2027-12-16
WH030,R06,5180,428,325,2027-12-14
WH030,R07,76,4,0,
WH030,R08,93,12,0,
WH030,R09,4620,399,292,
WH030,R10,188,6,0,
WH030,R11,254,30,16,
WH030,R12,224,26,17,
WH030,R13,271,24,21,
WH030,R14,123,5,7,
WH030,R15,60,6,0,
WH030,R16,345,51,0,
WH030,R17,217,11,5,2027-10-07
WH030,R18,104,9,7,
WH030,R19,188,17,6,
WH030,R20,53,3,1,
WH031,R01,179,21,11,
WH031,R02,267,24,12,
WH031,R03,133,20,9,
WH031,R04,329,23,25,
WH031,R05,6877,1026,367,2027-12-15
WH031,R06,7224,1020,403,2027-05-28
WH031,R07,351,50,5,
WH031,R08,274,22,8,
WH031,R09,4309,592,287,
WH031,R10,161,19,1,
WH031,R11,294,36,20,
WH031,R12,153,25,12,
WH031,R13,243,20,14,
WH031,R14,93,9,1,
WH031,R15,207,13,3,
WH031,R16,3175,162,109,
WH031,R17,222,21,15,2027-07-08
WH031,R18,333,14,26,
WH031,R19,174,27,9,
WH031,R20,216,10,13,
WH032,R01,269,16,10,
WH032,R02,151,21,2,
WH032,R03,78,5,0,
WH032,R04,332,24,13,
WH032,R05,3084,450,55,2027-04-02
WH032,R06,6524,510,54,2028-03-06
WH032,R07,99,4,3,
WH032,R08,281,45,11,
WH032,R09,1224,119,19,
WH032,R10,97,5,2,
WH032,R11,116,6,8,
WH032,R12,55,7,4,
WH032,R13,244,38,7,
WH032,R14,104,5,6,
WH032,R15,202,18,13,
WH032,R16,624,67,17,
WH032,R17,223,9,17,2027-06-18
WH032,R18,77,5,1,
WH032,R19,151,21,5,
WH032,R20,319,55,1,
WH033,R01,146,5,4,
WH033,R02,172,6,13,
WH033,R03,19,2,0,
WH033,R04,176,12,6,
WH033,R05,1798,59,94,2027-07-14
WH033,R06,2930,297,80,2028-01-19
WH033,R07,187,11,9,
WH033,R08,103,14,1,
WH033,R09,1080,172,43,
WH033,R10,64,8,2,
WH033,R11,107,4,6,
WH033,R12,111,4,1,
WH033,R13,178,24,8,
WH033,R14,146,16,8,
WH033,R15,80,8,0,
WH033,R16,440,42,32,
WH033,R17,149,12,10,2027-07-26
WH033,R18,185,19,1,
WH033,R19,81,11,4,
WH033,R20,78,6,2,
WH034,R01,282,15,21,
WH034,R02,34,4,1,
WH034,R03,48,2,1,
WH034,R04,295,33,23,
WH034,R05,714,127,7,2027-05-22
WH034,R06,2992,494,209,2027-01-30
WH034,R07,126,16,8,
WH034,R08,75,9,0,
WH034,R09,2730,333,109,
WH034,R10,44,2,1,
WH034,R11,106,11,3,
WH034,R12,149,13,1,
WH034,R13,65,7,0,
WH034,R14,305,28,10,
WH034,R15,153,18,7,
WH034,R16,1962,89,47,
WH034,R17,250,8,9,2027-01-24
WH034,R18,161,22,2,
WH034,R19,336,25,10,
WH034,R20,228,31,1,
WH035,R01,213,18,12,
WH035,R02,133,7,10,
WH035,R03,166,25,3,
WH035,R04,349,45,2,
WH035,R05,6237,669,88,2027-06-20
WH035,R06,1152,184,47,2027-11-27
WH035,R07,259,36,17,
WH035,R08,178,25,5,
WH035,R09,4576,725,55,
WH035,R10,332,12,10,
WH035,R11,148,21,2,
WH035,R12,86,3,6,
WH035,R13,198,30,8,
WH035,R14,231,10,15,
WH035,R15,252,34,2,
WH035,R16,1740,58,87,
WH035,R17,325,44,1,2027-01-10
WH035,R18,181,18,14,
WH035,R19,46,3,2,
WH035,R20,77,12,1,
WH036,R01,171,19,13,
WH036,R02,289,27,20,
WH036,R03,116,9,3,
WH036,R04,85,12,6,
WH036,R05,864,106,26,2027-09-01
WH036,R06,475,26,5,2027-03-05
WH036,R07,52,6,0,
WH036,R08,187,16,3,
WH036,R09,604,31,12,
WH036,R10,61,6,3,
WH036,R11,183,26,9,
WH036,R12,270,44,11,
WH036,R13,66,6,1,
WH036,R14,206,16,2,
WH036,R15,229,8,12,
WH036,R16,7106,743,39,
WH036,R17,274,25,7,2027-03-23
WH036,R18,310,41,17,
WH036,R19,117,15,6,
WH036,R20,171,6,3,
WH037,R01,177,18,12,
WH037,R02,24,2,0,
WH037,R03,251,14,1,
WH037,R04,325,54,23,
WH037,R05,3128,209,242,2026-12-10
WH037,R06,4624,293,189,2027-09-23
WH037,R07,296,47,13,
WH037,R08,291,31,16,
WH037,R09,3325,308,22,
WH037,R10,307,44,0,
WH037,R11,61,2,4,
WH037,R12,272,8,6,
WH037,R13,252,36,8,
WH037,R14,221,21,3,
WH037,R15,174,24,1,
WH037,R16,1520,84,5,
WH037,R17,37,5,0,2026-12-27
WH037,R18,324,16,19,
WH037,R19,111,10,8,
WH037,R20,245,26,12,
WH038,R01,239,8,18,
WH038,R02,240,17,12,
WH038,R03,335,20,14,
WH038,R04,68,11,1,
WH038,R05,4384,602,77,2027-10-03
WH038,R06,6636,851,405,2027-06-22
WH038,R07,349,12,5,
WH038,R08,168,8,6,
WH038,R09,1943,189,103,
WH038,R10,309,26,7,
WH038,R11,24,3,0,
WH038,R12,295,49,11,
WH038,R13,123,12,6,
WH038,R14,82,6,5,
WH038,R15,271,27,18,
WH038,R16,3705,341,30,
WH038,R17,172,14,5,2028-03-06
WH038,R18,79,9,0,
WH038,R19,185,21,3,
WH038,R20,93,11,5,
WH039,R01,70,3,2,
WH039,R02,119,5,4,
WH039,R03,256,31,9,
WH039,R04,259,44,2,
WH039,R05,6021,903,202,2028-02-09
WH039,R06,1190,200,22,2027-01-02
WH039,R07,260,27,9,
WH039,R08,308,37,5,
WH039,R09,3995,682,76,
WH039,R10,323,57,1,
WH039,R11,324,35,4,
WH039,R12,280,49,20,
WH039,R13,225,37,3,
WH039,R14,89,5,6,
WH039,R15,198,11,2,
WH039,R16,1328,76,20,
WH039,R17,80,12,4,2026-11-23
WH039,R18,199,29,6,
WH039,R19,103,15,2,
WH039,R20,123,10,1,
WH040,R01,103,12,6,
WH040,R02,95,7,3,
WH040,R03,134,19,0,
WH040,R04,91,7,1,
WH040,R05,408,17,19,2027-04-24
WH040,R06,2552,379,132,2027-03-13
WH040,R07,75,12,4,
WH040,R08,98,5,5,
WH040,R09,2037,269,127,
WH040,R10,107,17,8,
WH040,R11,17,2,1,
WH040,R12,113,3,5,
WH040,R13,104,7,2,
WH040,R14,39,3,0,
WH040,R15,171,5,8,
WH040,R16,582,104,20,
WH040,R17,156,10,10,2026-12-05
WH040,R18,28,4,1,
WH040,R19,22,0,0,
WH040,R20,93,10,3,
WH041,R01,279,35,9,
WH041,R02,298,19,11,
WH041,R03,291,37,14,
WH041,R04,73,11,2,
WH041,R05,2268,352,125,2027-05-16
WH041,R06,5819,939,106,2027-07-11
WH041,R07,335,50,3,
WH041,R08,152,22,4,
WH041,R09,3040,127,205,
WH041,R10,224,16,2,
WH041,R11,276,18,4,
WH041,R12,74,4,1,
WH041,R13,261,9,12,
WH041,R14,143,18,6,
WH041,R15,247,43,9,
WH041,R16,4602,584,30,
WH041,R17,270,31,14,2027-12-02
WH041,R18,299,28,21,
WH041,R19,79,4,0,
WH041,R20,343,35,22,
WH042,R01,104,13,7,
WH042,R02,40,3,0,
WH042,R03,170,10,10,
WH042,R04,156,10,11,
WH042,R05,460,17,25,2027-08-05
WH042,R06,6384,1009,348,2028-02-08
WH042,R07,21,1,0,
WH042,R08,67,7,4,
WH042,R09,7279,575,60,
WH042,R10,189,11,6,
WH042,R11,310,52,5,
WH042,R12,201,26,2,
WH042,R13,44,1,2,
WH042,R14,255,13,3,
WH042,R15,208,17,7,
WH042,R16,4488,776,104,
WH042,R17,121,13,8,2027-03-12
WH042,R18,239,18,10,
WH042,R19,29,3,1,
WH042,R20,47,6,3,
WH043,R01,91,3,2,
WH043,R02,85,9,2,
WH043,R03,340,35,25,
WH043,R04,227,20,1,
WH043,R05,1750,211,35,2027-06-30
WH043,R06,1944,275,146,2027-04-06
WH043,R07,237,14,7,
WH043,R08,135,11,10,
WH043,R09,6210,819,453,
WH043,R10,332,22,16,
WH043,R11,227,20,7,
WH043,R12,71,5,2,
WH043,R13,343,18,4,
WH043,R14,51,7,2,
WH043,R15,219,17,1,
WH043,R16,2844,300,175,
WH043,R17,24,3,1,2027-09-06
WH043,R18,284,35,16,
WH043,R19,140,24,4,
WH043,R20,205,18,12,
WH044,R01,198,33,14,
WH044,R02,238,14,14,
WH044,R03,60,7,4,
WH044,R04,60,9,3,
WH044,R05,2927,143,164,2027-01-22
WH044,R06,2730,407,121,2027-12-05
WH044,R07,150,10,11,
WH044,R08,187,27,11,
WH044,R09,3289,562,153,
WH044,R10,180,19,3,
WH044,R11,249,34,6,
WH044,R12,95,13,7,
WH044,R13,255,11,13,
WH044,R14,139,4,8,
WH044,R15,219,22,9,
WH044,R16,3281,257,73,
WH044,R17,161,14,11,2027-09-02
WH044,R18,54,4,0,
WH044,R19,296,14,18,
WH044,R20,136,6,7,
WH045,R01,57,5,0,
WH045,R02,108,15,8,
WH045,R03,150,25,3,
WH045,R04,93,10,5,
WH045,R05,708,68,3,2027-08-13
WH045,R06,3000,491,65,2027-05-15
WH045,R07,189,9,9,
WH045,R08,324,24,4,
WH045,R09,1560,200,29,
WH045,R10,192,33,4,
WH045,R11,209,7,2,
WH045,R12,57,5,3,
WH045,R13,59,4,0,
WH045,R14,266,19,12,
WH045,R15,231,39,5,
WH045,R16,4712,711,260,
WH045,R17,130,18,5,2027-11-02
WH045,R18,41,5,2,
WH045,R19,196,25,5,
WH045,R20,90,5,1,
WH046,R01,293,23,5,
WH046,R02,83,5,4,
WH046,R03,238,25,2,
WH046,R04,286,30,16,
WH046,R05,1470,95,34,2027-05-06
WH046,R06,910,30,70,2026-12-10
WH046,R07,51,2,3,
WH046,R08,65,6,3,
WH046,R09,3570,160,69,
WH046,R10,328,52,20,
WH046,R11,322,24,24,
WH046,R12,348,28,19,
WH046,R13,287,15,4,
WH046,R14,311,36,20,
WH046,R15,288,45,7,
WH046,R16,1150,93,83,
WH046,R17,154,7,7,2027-07-28
WH046,R18,68,11,4,
WH046,R19,61,4,1,
WH046,R20,97,8,6,
WH047,R01,212,19,12,
WH047,R02,216,21,2,
WH047,R03,58,4,2,
